"Title","Developer(s)","Publisher(s)","Release date","Ref."
"Bouncy Bob 2","MadGamesmith","Ultimate Games","November 20, 2019","[423]"
"Bouncy Bullets","Petite Games","Ratalaika Games","July 11, 2019",""
"Bouncy Bullets 2","Petite Games","Ratalaika Games","October 8, 2021","[171][424][425]"
"Bounty Battle","Dark Screen Games","Merge Games","September 10, 2020","[426][427][428][429]"
"Bow to Blood: Last Captain Standing","Tribetoy","Tribetoy","April 3, 2019","[430]"
"Bowling","Sabec","Sabec","November 28, 2019","[431]"
"Box Align","QUByte Interactive","QUByte Interactive","April 11, 2019","[412]"
"BoxBoy! + BoxGirl!","HAL Laboratory","Nintendo","April 26, 2019",""
"Boxing Champs","Raz Games","Raz Games","June 20, 2019","[432][433]"
"A Boy and His Blob","WayForward","Ziggurat Interactive","November 4, 2021",""
"Boyfriend Dungeon","Kitfox Games","Kitfox Games","August 11, 2021",""
"BQM: BlockQuest Maker","Wonderland Kazakiri","Wonderland Kazakiri","December 27, 2018","[434][435]"
"The Bradwell Conspiracy","A Brave Plan","Bossa Studios","October 10, 2019","[218][436][437][438][439]"
"Braid Anniversary Edition","Thekla","Thekla","TBA",""
"Brain Breaker","Erik Games","Erik Games","January 25, 2021","[440]"
"Brain Meltdown: Into Despair","Onfire Games","CFK","October 28, 2021","[441]"
"BrainZ","Enigma Entertainment, Delta Bright Bilişim","Polygon Art","November 12, 2020","[442]"
"Bramble: The Mountain King","Dimfrost Studio","Merge Games","April 27, 2023",""
"Bratz: Flaunt Your Fashion","Petoons Studio","Outright Games","November 4, 2022","[443][444]"
"Brave Dungeon + Dark Witch's Story: Combat","Inside System","Inside System","September 27, 2017","[445][446]"
"Braveland Trilogy","Tortuga Team","Ellada Games","March 7, 2019","[447][448]"
"Bravely Default 2","Claytechworks","JP: Square EnixWW: Nintendo","February 26, 2021",""
"BraveMatch","Playstige Interactive","Playstige Interactive","April 22, 2021","[449][450][451]"
"Brawl","Bloober Team","QubicGames","January 12, 2018","[452]"
"Brawl Chess","Red Deer Games","Red Deer Games","November 26, 2020","[453]"
"Brawlhalla","Blue Mammoth Games","Ubisoft","November 6, 2018",""
"Brawlout","Angry Mob Games","Angry Mob Games","December 19, 2017",""
"Break Dot","Caerux","Caerux","September 3, 2020","[454][455]"
"Breakers Collection","Visco Corporation","QuByte Interactive","Q1 2022",""
"Breakfast Bar Tycoon","Baltoro Games","Baltoro Games","March 20, 2020","[456]"
"#Breakforcist Battle","Lucid Sheep Games","Lucid Sheep Games","April 12, 2018","[457]"
"Breakout: Recharged","Adamvision Studios, SneakyBox","Atari","February 10, 2022",""
"Breakpoint","Studio Aesthesia","The Quantum Astrophysicists Guild","September 24, 2020","[458]"
"Breathedge","HypeTrain Digital","HypeTrain Digital","April 6, 2021","[459][460]"
"Breathing Fear","Drageus Games","Drageus Games","December 6, 2019","[461][462][463]"
"Breeder Homegrown: Director's Cut","Sometimes You","Sometimes You","March 6, 2020","[464]"
"The Bridge","The Quantum Astrophysicists Guild","The Quantum Astrophysicists Guild","September 7, 2017",""
"Brick Bat Crazy","IndieRevo","IndieRevo","April 2, 2021","[465]"
"Brick Breaker","Sanuk Games","Nacon","January 3, 2019","[466]"
"Bridge! 3","Aerosoft","Aerosoft","April 9, 2020","[266][467][468]"
"Bridge Builder Adventure","BoomBit Games","BoomBit Games","February 7, 2020","[469]"
"Bridge Constructor Ultimate Edition","ClockStone","Headup Games","January 31, 2020","[470]"
"Bridge Constructor Portal","ClockStone","Headup Games","February 28, 2018",""
"Bridge Constructor: The Walking Dead","ClockStone","Headup Games","November 19, 2020","[471][472]"
"Bridge Strike","Project R3D","Project R3D, Drageus Games","June 5, 2020","[473]"
"Brief Battles","Juicy Cupcake","Juicy Cupcake","February 21, 2020","[330][331][332]"
"Brigandine: The Legend of Runersia","Matrix Software","Happinet Games","June 25, 2020",""
"Bright Paw","Radical Forge","Rogue Games","October 16, 2020","[474]"
"Brightstone Mysteries: Paranormal Hotel","Cateia Games","Ocean Media","July 23, 2020","[475]"
"Bring Honey Home","Benjamin Kistler","Kistler Benjamin","June 8, 2021","[476][477][478]"
"Bring It to Mom","InCiti Games","KrzysztofPodsada","August 20, 2020","[479][480][481]"
"Bring Them Home","Andrey Kharchenko","Higgs Games","December 20, 2018","[482]"
"Broforce","Free Lives","Devolver Digital","September 6, 2018",""
"Broken Age","Double Fine Productions","Double Fine Productions","September 13, 2018",""
"Broken Lines","Porta Play","Super.com","April 23, 2020","[483]"
"Broken Roads","Drop Bear Bytes","Versus Evil","April 10, 2024","[484][485]"
"Broken Sword 5: The Serpent's Curse","Revolution Software","Revolution Software","September 21, 2018",""
"Brotato","Thomas Gervraud","Blobfish","August 3, 2023",""
"Brotherhood United","Myoubouh","Silesia Games","March 12, 2020","[486]"
"Brothers: A Tale of Two Sons","Starbreeze Studios","505 Games","May 28, 2019",""
"Brothers Conflict: Precious Baby","Idea Factory","Idea Factory","August 29, 2019",""
"Brunch Club","Foggy Box Games","Yogscast","August 29, 2019","[487]"
"Brunswick Pro Billiards","Farsight Studios","Farsight Studios","October 14, 2020","[488]"
"Brutal Rage","2Bad Games","2Bad Games","February 16, 2021","[489]"
"Bubble","Sabec","Sabec","April 30, 2020","[490][491][492]"
"Bubble Bobble 4 Friends","Taito","Inin Games","November 19, 2019",""
"Bubble Bubble Ocean","Benoit Varasse","Pix Arts","February 6, 2021","[493]"
"Bubble Cats Rescue","Cool Small Games","Cool Small Games","July 5, 2019","[494]"
"Bubble Shooter DX","EntwicklerX","EntwicklerX","January 10, 2019","[225]"
"Bubble Shooter FX","EntwicklerX","EntwicklerX","September 16, 2021","[215][495][496]"
"Bubsy: Paws on Fire!","Choice Provisions","UFO Interactive Games","August 29, 2019",""
"Bucket Knight","Sometimes You","Sometimes You","February 28, 2020","[167]"
"Bud Spencer & Terence Hill: Slaps and Beans","Trinity Team","Buddy Productions","October 18, 2018",""
"Buddy Collection if: Shukumei no Akai Ito","PLiCy","PLiCy","April 26, 2018","[497]"
"Buddy Mission: Bond","Koei Tecmo","Nintendo","January 29, 2021","[498]"
"Buddy Simulator 1984","Not a Sailor Studios","Not a Sailor Studios, Feardemic","October 27, 2022","[499]"
"Bug Academy","Igrek Games","Ultimate Games","March 23, 2020","[500]"
"The Bug Butcher","Awfully Nice Studios","2Awesome Studio","November 8, 2018","[501][502]"
"Bug Fables: The Everlasting Sapling","Moonsprout Games","Dangen Entertainment","May 28, 2020",""
"Build a Bridge!","BoomBit Games","BoomBit Games","January 17, 2019","[189]"
"Buildings Have Feelings Too!","Blackstaff Games","Merge Games","April 22, 2021","[503][504][505][506]"
"Buissons","Tambouille","Tambouille","August 19, 2021","[507][508][509]"
"Bulb Boy","Bulbware","Bulbware","July 6, 2017",""
"Bullet Battle: Evolution","Troooze, Forza Games","Troooze","June 6, 2019","[510]"
"Bullet Beat","Ternox","Ternox","October 21, 2020","[272]"
"The Bullet: Time of Revenge","Art Games Studio","Art Games Studio","May 7, 2020","[511][369][512]"
"Bullet Trail","Piotr Skalski","Piotr Skalski","January 11, 2021","[513]"
"Bulletstorm: Duke of Switch Edition","People Can Fly, Epic Games","Gearbox Publishing","August 30, 2019",""
"Bullseye","Sabec","Sabec","June 17, 2021","[31][514][515]"
"The Bunker","Splendy Games","Wales Interactive","April 9, 2018",""
"Bunny Adventure","Inlogic","11Sheep","August 20, 2020","[516]"
"Bunny Bounce","Dharker Studios","Gamuzumi","July 22, 2021","[517][518][519]"
"Bunny Garden","Qureate","Qureate","April 18, 2024","[520]"
"Burger Chef Tycoon","Baltoro Games","Baltoro Games","August 2, 2019","[521]"
"Burger Master","Piotr Skalski","Piotr Skalski","February 16, 2021","[489]"
"BurgerTime Party","G-Mode","JP: G-ModeWW: Xseed Games","October 8, 2019","[522]"
"Buried Stars","Studio Largo","Line Games","July 30, 2020","[523]"
"Burly Men at Sea","Brain & Brain Seaven Studio","Plug In Digital","April 12, 2018","[524]"
"Burn! SuperTrucks","Jorge Biedma Azuar","Jorge Biedma Azuar","January 29, 2021","[525]"
"Burnout Paradise Remastered","Criterion Games","Electronic Arts","June 19, 2020",""
"Burnstar","Nerve Software","Gearbox Publishing","July 2, 2018","[526]"
"Burst Shooter","FunAlter Games","FunAlter Games","October 15, 2020","[488]"
"Bury Me My Love","MidBoss","MidBoss","January 10, 2019","[527][528][529]"
"Bus Driver Simulator","KishMish Games","Ultimate Games","November 13, 2020","[183]"
"Bus Fix 2019","Ultimate Games","Ultimate Games","July 3, 2019","[61][250][530][531]"
"Bushiden","Pixel Arc Studios","Pixel Arc Studios","2021","[532]"
"Business Tour Deluxe","Creobit","8Floor Games","October 7, 2021","[48][533][534]"
"Bush Hockey League","V7 Entertainment","V7 Entertainment","April 14, 2022",""
"Bustafellows","eXtend","JP: eXtendWW: PQube","December 19, 2019","[535][536][537]"
"Butcher","Transhuman Design","Crunching Koalas","September 28, 2017","[538][539]"
"Button Button Up!","Centrosphere Games","Circle Entertainment","September 26, 2019","[540][541]"
"Button City","Subliminal","Wings Interactive","August 10, 2021","[542]"
"Byakko-tai Samurai Boys","OperaHouse Corporation","OperaHouse","February 4, 2021","[543]"
