"Title","Developer(s)","Publisher(s)","Release date","Ref."
"Dariusburst Another Chronicle EX+","Taito","JP: TaitoWW: Inin Games","February 25, 2021",""
"Darius Cozmic Collection Arcade","M2","JP: TaitoWW: Inin Games","February 28, 2019",""
"Darius Cozmic Collection Console","M2","JP: TaitoWW: Inin Games","February 28, 2019",""
"Darius Cozmic Revelation","M2","JP: TaitoWW: Inin Games","February 25, 2021",""
"Dark Arcana: The Carnival","Artifex Mundi","Artifex Mundi","December 18, 2020",""
"The Dark Crystal: Age of Resistance Tactics","BonusXP, En Masse Entertainment","Netflix","February 4, 2020",""
"Dark Deity","Sword & Axe","indie.io","2022",""
"Dark Devotion","Hibernian Workshop","The Arcade Crew","October 24, 2019","[284][285]"
"The Dark Eye: Chains of Satinav","Daedalic Entertainment","Daedalic Entertainment","January 27, 2021",""
"The Dark Eye: Memoria","Daedalic Entertainment","Daedalic Entertainment","January 27, 2021",""
"Dark Fantasy: Jigsaw Puzzle","Naisu","Naisu","June 3, 2021",""
"Dark Grim Mariupolis","Team Mariupolis","Ternox","December 15, 2020",""
"A Dark Room","Scratchwork Development","Circle Entertainment","April 11, 2019",""
"Dark Souls: Remastered","FromSoftware, Virtuos","Bandai Namco Entertainment","October 19, 2018",""
"Dark Tower: RPG Dungeon Puzzle","PrimeBit Games","PrimeBit Games","February 21, 2020","[135][136]"
"Dark Water: Slime Invader","Devbox","Troooze","March 18, 2021",""
"Dark Witch Music Episode: Rudymical","Inside System, Esquadra","Flyhigh Works","May 11, 2017",""
"Darkest Dungeon","Red Hook Studios","Red Hook Studios","January 18, 2018",""
"Darkest Hunters","Ultimate Games","Ultimate Games","April 29, 2019",""
"Darkestville Castle","Epic Llama","Buka Entertainment","August 13, 2020","[286]"
"The Darkside Detective","Spooky Doorway","Spooky Doorway","February 7, 2018",""
"Darksiders II: Deathinitive Edition","Gunfire Games","THQ Nordic","September 26, 2019",""
"Darksiders III","Gunfire Games","THQ Nordic","September 30, 2021",""
"Darksiders Genesis","Airship Syndicate","THQ Nordic","February 14, 2020",""
"Darksiders: Warmastered Edition","Kaiko","THQ Nordic","April 2, 2019",""
"Darkwood","Acid Wizard Studio","Crunching Koalas","May 16, 2019",""
"Darq: Complete Edition","Unfold Games","Feardemic","March 18, 2021","[287]"
"Darts Up","EnjoyUp Games","EnjoyUp Games","July 13, 2018",""
"Date Night Bowling","Way Down Deep","Serenity Forge","November 26, 2021","[288]"
"Dauntless","Phoenix Labs","Phoenix Labs","December 10, 2019",""
"Dawn of the Breakers","CyberStep","CyberStep","July 5, 2018","[289]"
"Dawn of the Monsters","13AM Games","WayForward","2022","[290]"
"Dawn of Survivors","Wistone Entertainment","Wistone Entertainment","April 18, 2019","[291][292]"
"A Day Without Me","PT. Gamecom Team Studio","Silesia Games","March 11, 2021",""
"DC League of Super-Pets: The Adventures of Krypto and Ace","PHL Collective","Outright Games","July 15, 2022","[293]"
"DC Super Hero Girls: Teen Power","Toybox","Nintendo","June 4, 2021",""
"DC Universe Online","Daybreak Game Company","Daybreak Game Company","August 6, 2019",""
"De: Yabatanien","Yotalian Games","Dico","October 29, 2020",""
"De Blob","BlitWorks","THQ Nordic","June 26, 2018",""
"De Blob 2","BlitWorks","THQ Nordic","August 28, 2018",""
"De Mambo","The Dangerous Kitchen","JP: Chorus WorldwideWW: The Dangerous Kitchen","June 29, 2017",""
"Dead Cells","Motion Twin","Motion Twin","August 7, 2018",""
"Dead by Daylight","Behaviour Interactive","Starbreeze Studios","September 24, 2019",""
"Dead End Job","Ant Workshop","Headup Games","December 13, 2019",""
"Dead in Vinland","CCCP","Plug In Digital","July 11, 2019","[294]"
"Dead or Alive Xtreme 3: Scarlet","Team Ninja","Koei Tecmo","March 20, 2019",""
"Dead or School","Studio Nanafushi","JP: Studio NanafushiWW: Marvelous Europe","August 29, 2019","[295]"
"Dead Synchronicity: Tomorrow Comes Today","Fictiorama Studios","BadLand Games","November 21, 2017",""
"Deadcraft","Marvelous First Studio","JP: MarvelousWW: Xseed Games","May 19, 2022","[296]"
"Deadlings","Artifex Mundi","All In! Games","August 27, 2019",""
"Deadly Days","Pixelsplit Games","Assemble Entertainment","August 27, 2020","[297]"
"Deadly Dozen Reloaded","nFusion Interactive","Ziggurat Interactive","Q3 2022",""
"Deadly Premonition: Origins","Access Games","Access Games","September 4, 2019",""
"Deadly Premonition 2: A Blessing in Disguise","Access Games","Access Games","July 10, 2020",""
"Dear My Abyss","Regista","Regista","February 22, 2018","[298]"
"Dear My Magical Boys","Caerux","Caerux","June 6, 2019",""
"Death and Taxes","Placeholder Gameworks","Pineapple Works","September 10, 2020",""
"Death Crown","Co5monaut, Stas Pisarev","Badland Publishing","May 13, 2021",""
"Death Come True","Too Kyo Games","IzanagiGames","June 24, 2020",""
"Death Coming","Next Studios","JP: Zodiac InteractiveWW: Beijing Spirit Games","April 25, 2019","[299][300][301]"
"Death end re;Quest","Compile Heart","JP: Compile HeartWW: Idea Factory International","December 24, 2020",""
"Death end re;Quest 2","Compile Heart","JP: Compile HeartWW: Idea Factory International","August 19, 2021",""
"Death Match Love Comedy","Kemco","Kemco","June 25, 2020","[302]"
"Death of a Wish","Melessthanthree","Syndicate Atomic","March 11, 2024","[303][304]"
"Death Road to Canada","Rocketcat Games","Ukiyo Publishing","May 8, 2018","[305]"
"Death Squared","SMG Studio","JP: Circle EntertainmentWW: SMG Studio","July 13, 2017",""
"Death's Door","Acid Nerve","Devolver Digital","November 23, 2021",""
"Death's Gambit: Afterlife","White Rabbit","Serenity Forge","September 30, 2021",""
"Death's Hangover","Retro Army Limited","QubicGames","August 28, 2020","[306][307]"
"Deathstate: Abyssal Edition","Bread Machine","Bread Machine","September 19, 2019","[308][309]"
"Deathtrap Dungeon Trilogy","Nomad Games","Nomad Games","November 29, 2019","[310][311]"
"Debris Infinity","SVC Games","SVC Games","September 21, 2018","[312]"
"Decay of Logos","Amplify Creations","Rising Star Games","November 28, 2019","[313][314][315]"
"Deemo","Rayark, Esquadra","Flyhigh Works","September 20, 2017",""
"Deemo: Reborn","Rayark","Rayark","December 17, 2020",""
"Deep Diving Adventures","Jujubee","Jujubee","March 16, 2020",""
"Deep Ones","Sometimes You","Sometimes You","April 11, 2018","[316]"
"Deep Sky Derelicts: Definitive Edition","Snowhound Games","1C Company","March 24, 2020","[317]"
"Deep Space Rush","Ratalaika Games","JP: ShinyudenWW: Ratalaika Games","October 25, 2019","[318][319][320]"
"Deer Drive Legends","Raylight","Maximum Games","June 14, 2019",""
"The Deer God","Crescent Moon Games, Blowfish Studios","Blowfish Studios","December 21, 2017","[321]"
"Defenders of Ekron: Definitive Edition","Chorus Worldwide","Chorus Worldwide","December 5, 2019","[322][323] [324]"
"Defend the Kingdom","Benjamin Kistler","Benjamin Kistler","July 15, 2021",""
"Defend Your Castle","XGen Studios","XGen Studios","April 25, 2019",""
"Defense Grid 2","Hidden Path Entertainment","Hidden Path Entertainment","February 7, 2019",""
"Defoliation","Rising Win Tech","Cosen","May 31, 2018",""
"Defunct","Soedesco","Soedesco","September 13, 2018",""
"Degrees of Separation","Moondrop Studios","Modus Games","February 14, 2019",""
"Dei Gratia no Rashinban","Catalyst","Regista","December 27, 2018","[325]"
"Deleveled","The Quantum Astrophysicists Guild","The Quantum Astrophysicists Guild","September 10, 2020",""
"Delicious! Pretty Girls Mahjong Solitaire","EastAsiaSoft, Zoo Corporation","EastAsiaSoft","April 8, 2021",""
"Deltarune","8-4","8-4","February 28, 2019",""
"Demetrios: The Big Cynical Adventure","Cowcat","Cowcat","December 3, 2018",""
"The Demon Crystal","Regista","Regista","December 20, 2018","[326][327][328]"
"Demon Gaze Extra","Cattle Call","JP: Kadokawa GamesWW: Clouded Leopard Entertainment","September 2, 2021",""
"Demon Hunter: Revelation","Artifex Mundi","Artifex Mundi","February 26, 2021",""
"Demon Pit","Psychic Software, DoomCube","Digerati","December 25, 2019","[329]"
"Demon Slayer: Kimetsu no Yaiba – The Hinokami Chronicles","CyberConnect2","JP: AniplexWW: Sega","June 9, 2022",""
"Demon Throttle","Doinksoft","Devolver Digital","2022","[330]"
"Demon Turf","Fabraz","Playtonic Friends","November 4, 2021","[331][332]"
"Demong Hunter","LinkTown","Troooze","October 29, 2020",""
"Demon's Tier+","CowCat","CowCat","June 9, 2020","[333]"
"Demon's Tilt","Flarb, Wiznwar","Flarb","December 23, 2019",""
"Demons Ate My Neighbors!","Tuned-Out Games","Tuned-Out Games","TBA","[334]"
"Densha de Go! Hashirou Yamanote Sen","Square Enix, Taito","Square Enix, Taito","March 18, 2021",""
"Depixtion","DevHour Games","DevHour Games","February 28, 2020","[335]"
"Deployment","Whale Rock Games","Whale Rock Games","October 24, 2018",""
"Deponia","Daedalic Entertainment","Daedalic Entertainment","April 24, 2019",""
"Deponia Doomsday","Daedalic Entertainment","Daedalic Entertainment","December 23, 2019",""
"Derby Stallion","Land Ho!","Game Addict","December 3, 2020",""
"Deru: The Art of Cooperation","Ink Kit","Mr. Whale’s Game Service","November 7, 2018","[336]"
"Descenders","RageSquid","No More Robots","November 5, 2020",""
"Desert Child","Oscar Brittain","Akupara Games","December 11, 2018","[337]"
"Desire: Remaster Version","Red Flag Ship","Red Flag Ship","December 27, 2019","[338]"
"Desktop Baseball","Sat Box","Sat Box","May 31, 2019",""
"Desktop Basketball","Sat Box","Sat Box","February 27, 2020","[339][340][341]"
"Desktop Bowling","Sat Box","Sat Box","July 8, 2019",""
"Desktop Dodgeball","Sat Box","Sat Box","October 10, 2019",""
"Desktop Rugby","Sat Box","Sat Box","October 17, 2019",""
"Desktop Soccer","Sat Box","Sat Box","November 21, 2018",""
"Desktop Table Tennis","Sat Box","Sat Box","June 28, 2019",""
"Desktop Volleyball","Sat Box","Sat Box","July 16, 2020",""
"Despotism 3k","Gameplay First","Gameplay First","May 30, 2020",""
"Destiny Connect: Tick-Tock Travelers","Nippon Ichi Software",".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}JP: Nippon Ichi SoftwareWW: NIS America","February 28, 2019","[342]"
"Destiny's Princess: A War Story, A Love Story","D3 Publisher","D3Publisher","June 21, 2018",""
"Destrobots","7Levels","7Levels","June 18, 2020","[343]"
"Destroy All Humans!","Black Forest Games","THQ Nordic","June 29, 2021",""
"Destruction","Rising Win Tech","Cosen","November 15, 2018",""
"Detective Driver: Miami Files","BoomBit Games","BoomBit Games","July 24, 2020","[344][345]"
"Detective Gallo","Adventure Productions","MixedBag","August 17, 2018","[346][347]"
"Detective Pikachu Returns","Creatures","The Pokémon Company, Nintendo","October 6, 2023","[348]"
"Detention","Red Candle Games","Red Candle Games","March 1, 2018",""
"Deuces Wild: Video Poker","eSolutions","eSolutions Nordic","September 4, 2020",""
"Devil Engine","Dangen Entertainment","Dangen Entertainment","February 21, 2019","[62][63]"
"Devil May Cry","Capcom","Capcom","June 24, 2019",""
"Devil May Cry 2","Capcom","Capcom","September 19, 2019",""
"Devil May Cry 3","Capcom","Capcom","February 20, 2020",""
"Devil Slayer: Raksasi","Masatoko Games","Masatoko Games","TBA","[349]"
"Devious Dungeon","Ravenous Games, Woblyware","Ratalaika Games","March 30, 2018","[350]"
"Devious Dungeon 2","Ratalaika Games","Ratalaika Games","May 17, 2019",""
"Dex","Dreadlocks Ltd","QubicGames","July 24, 2020",""
"Dexteritrip","Undergames","Undergames","November 29, 2018",""
"Dezatopia","Hanaji Games","Hanaji Games","March 19, 2020",""
"Diablo II: Resurrected","Vicarious Visions","Blizzard Entertainment","September 23, 2021",""
"Diablo III: Eternal Collection","Blizzard Entertainment","Blizzard Entertainment","November 2, 2018",""
"Diabolik Lovers Grand Edition","Rejet","Idea Factory","November 21, 2019",""
"Diabolik Lovers: Chaos Lineage","Rejet","Idea Factory","March 28, 2019",""
"Dice Legacy","DESTINYbit","Ravenscourt, Maple Whispering Limited","September 9, 2021","[351]"
"Die for Valhalla!","Monster Couch","Monster Couch","May 29, 2018",""
"Dicey Dungeons","Terry Cavanagh","Terry Cavanagh","December 15, 2020",""
"Dies irae: Amantes amentes","Greenwood","Views","October 18, 2018",""
"Diggerman","Forever Entertainment","Forever Entertainment","December 24, 2018",""
"Digimon Story Cyber Sleuth: Complete Edition","Media.Vision","Bandai Namco Entertainment","October 17, 2019",""
"Digimon Survive","Hyde","Bandai Namco Entertainment","July 29, 2022",""
"Digimon World: Next Order","B.B. Studio","Bandai Namco Entertainment","February 22, 2023",""
"Dimension Drive","2Awesome Studio","2Awesome Studio","December 7, 2017","[352][353]"
"Ding Dong XL","Nickervision Studios","Nickervision Studios","April 22, 2019","[299][300]"
"Dirt Trackin 2","Flying Squirrel Games","Flying Squirrel Games","September 4, 2020","[354][355]"
"Disaster Report 4 Plus: Summer Memories","Granzella","JP: GranzellaWW: NIS America","September 26, 2019",""
"Disc Jam","High Horse Entertainment","High Horse Entertainment","February 8, 2018",""
"Disc Room","Terri, Dose, Kitty, and JW","Devolver Digital","October 22, 2020",""
"Disco Elysium","ZA/UM","ZA/UM","October 12, 2021",""
"Discolored","Godbey Games","Godbey Games","July 1, 2021","[356][357]"
"Discovery","noowanda","noowanda","May 24, 2018",""
"Disease: Hidden Object","OperaHouse Corporation","D3 Publisher","July 5, 2018","[358]"
"Disgaea 1 Complete","Nippon Ichi Software","Nippon Ichi Software","July 26, 2018",""
"Disgaea 4 Complete+","Nippon Ichi Software","Nippon Ichi Software","October 29, 2019",""
"Disgaea 5 Complete","Nippon Ichi Software","Nippon Ichi Software","March 3, 2017",""
"Disgaea 6: Defiance of Destiny","Nippon Ichi Software","Nippon Ichi Software","January 28, 2021",""
"Disgaea 7","Nippon Ichi Software","Nippon Ichi Software","January 26, 2023",""
"Disney Classic Games: Aladdin and The Lion King","Digital Eclipse","Disney Interactive","October 29, 2019",""
"Disney Dreamlight Valley","Gameloft Montreal","Gameloft","December 5, 2023",""
"Disney Illusion Island","Dlala Studios","Disney Interactive","July 28, 2023","[359][360]"
"Disney Magical World 2: Enchanted Edition","Bandai Namco Studios, Hyde","Bandai Namco Entertainment","December 2, 2021",""
"Disney Speedstorm","Gameloft","Gameloft","September 28, 2023","[361]"
"Disney Tsum Tsum Festival","B.B. Studio, Hyde","Bandai Namco Entertainment","October 10, 2019",""
"Disjunction","Ape Tribe Games","JP: Game Source EntertainmentWW: Sold Out","January 28, 2021",""
"Distraint: Deluxe Edition","Jesse Makkonen","Ratalaika Games","September 13, 2019",""
"Distraint 2","Jesse Makkonen","Ratalaika Games","July 10, 2020",""
"Divinity: Original Sin II","Larian Studios","Bandai Namco Entertainment","September 4, 2019",""
"Dobutsu Shogi World","Silver Star","Silver Star","June 27, 2019",""
"Doctor Who: The Edge of Reality","Maze Theory","BBC Studios, Just Add Water","October 28, 2021","[362]"
"Doctor Who: The Lonely Assassins","Maze Theory","Maze Theory","August 12, 2021","[363]"
"Dodge Hard","Vanguard, Ikinagames","Vanguard","October 8, 2019",""
"Dodgeball Academia","Pocket Trap","Humble Games","August 5, 2021","[364]"
"DoDonPachi Resurrection","Cave","Live Wire","November 25, 2021",""
"Dodo Peak","Moving Pieces Interactive","Screenwave Media","July 31, 2020","[365][366]"
"Dog Duty","Zanardi and Liza","Soedesco","September 17, 2020","[367]"
"Dog Gone Golfing","Vagabond Dog","Vagabond Dog","December 3, 2020",""
"Doggie Ninja: The Burning Strikers","Toydea","Toydea","January 16, 2020",""
"Doggie Ninja: The Golden Mission","Toydea","Toydea","April 11, 2019",""
"Dogurai","QuByte Interactive","QuByte Interactive","March 24, 2020","[91][122]"
"Dojoran","Nautlander Studio","Ratalaika Games","September 17, 2021","[368]"
"Dokapon Up! Mugen no Roulette","Sting Entertainment","Aquaplus","December 10, 2020","[369]"
"Doki Doki Literature Club Plus!","Team Salvato","JP: PlayismWW: Serenity Forge","June 30, 2021",""
"Dokuro","GungHo Online Entertainment","SE Mobile and Online","September 27, 2018",""
"Dollhouse","Creazn Studio","Soedesco","October 29, 2021","[370]"
"Dominate","eSolutions Nordic","eSolutions Nordic","July 24, 2020","[371][372]"
"Domiverse","Haunted Tie","Haunted Tie","October 17, 2019",""
"Don Swagger","Hearts Technology","Hearts Technology","TBA","[373]"
"Don't Die, Mr. Robot! DX","Infinite State Games","Digerati","May 3, 2018",""
"Don't Knock Twice","Wales Interactive","Wales Interactive","October 17, 2017",""
"Don't Starve","Klei Entertainment","505 Games","April 12, 2018",""
"Don't Starve Together","Klei Entertainment","Klei Entertainment","April 12, 2022",""
"Donkey Kong Country: Tropical Freeze","Retro Studios","Nintendo","May 3, 2018",""
"Donkey Kong Country Returns HD","Retro Studios","Nintendo","January 16, 2025",""
"Donut County","Ben Esposito","Annapurna Interactive","December 18, 2018",""
"Doodle Derby","Studio Erikson","Headup Games","September 11, 2020","[374]"
"Doodle God: Evolution","JoyBits","JoyBits","January 24, 2019",""
"Doom (1993)","id Software","Bethesda Softworks","July 26, 2019",""
"Doom (2016)","id Software, Panic Button","Bethesda Softworks","November 10, 2017",""
"Doom II","id Software","Bethesda Softworks","July 26, 2019",""
"Doom 3: BFG Edition","id Software","Bethesda Softworks","July 26, 2019",""
"Doom 64","id Software","Bethesda Softworks","March 20, 2020",""
"Doom & Destiny","Heartbit Interactive","Heartbit Interactive","February 8, 2019","[375]"
"Doom Eternal","id Software, Panic Button","Bethesda Softworks","December 8, 2020",""
"Doomsday Vault","Flightless","Flightless","August 5, 2021",""
"Door Kickers","Killhouse Games","QubicGames","December 26, 2020",""
"Door Kickers: Action Squad","Killhouse Games","Killhouse Games","October 28, 2019",""
"Doors of Insanity","OneShark","Another Indie","TBA","[376]"
"Doraemon Learning Collection","Jupiter Corporation","Shogakukan","February 4, 2021",""
"Doraemon: Nobita no Getsumen Tansaki","FuRyu","FuRyu","February 28, 2019",""
"Doraemon: Nobita no Shin Kyōryū","FuRyu","FuRyu","March 5, 2020",""
"Doraemon: Nobita's Little Star Wars 2021","FuRyu","FuRyu","TBA",""
"Doraemon Story of Seasons","Brownies, Marvelous","Bandai Namco Entertainment","June 13, 2019",""
"Doraemon Story of Seasons: Friends of the Great Kingdom","Marvelous","Bandai Namco Entertainment","2022","[377]"
"Dordogne","Un Je Ne Sais Quoi, Umanimation","Focus Entertainment","June 13, 2023","[378]"
"Dotori","indev-studio","CFK","February 25, 2021",""
"Double Cross","13AM Games","13AM Games","January 10, 2019",""
"Double Dragon & Kunio-kun: Retro Brawler Bundle","Arc System Works","Arc System Works","February 20, 2020",""
"Double Dragon IV","Arc System Works","Arc System Works","September 7, 2017",""
"Double Dragon Gaiden: Rise of the Dragons","Secret Base","Modus Games","July 27, 2023",""
"Double Dragon Neon","WayForward","JP: Arc System WorksWW: Majesco Entertainment","December 21, 2020",""
"Double Kick Heroes","Headbang Club","Headbang Club","August 13, 2020","[379]"
"Double Switch: 25th Anniversary Edition","Screaming Villains, Flash Film Works","Limited Run Games","October 5, 2019",""
"Doug Hates His Job","Super Villain Games","Super Villain Games","March 5, 2021",""
"Doughlings: Arcade","Hero Concept","Hero Concept","September 13, 2018",""
"Doughlings: Invasion","Hero Concept","Hero Concept","August 8, 2019",""
"Doukoku Soshite","El Dia","El Dia","November 7, 2019","[380]"
"Down in Bermuda","Yak & Co","Yak & Co","January 14, 2021",""
"Down to Hell","Red Dev Studio","Ultimate Games","December 23, 2019","[381]"
"Downwell","Moppin","Devolver Digital","January 31, 2019",""
"Dr Kawashima's Brain Training for Nintendo Switch","Nintendo","Nintendo","December 27, 2019",""
"Dr. Mikio Hiraiwa-Supervised Yomu Tore Go","Something Good Corporation","Something Good Corporation","TBA","[382]"
"Drag Racing Rivals","Inlogic Games, No Gravity Games","No Gravity Games","September 17, 2020",""
"DragoDino","Plug In Digital","Plug In Digital","April 27, 2018","[383]"
"Dragon Ball FighterZ","Arc System Works","Bandai Namco Entertainment","September 27, 2018",""
"Dragon Ball: The Breakers","Dimps","Bandai Namco Entertainment","2022","[384]"
"Dragon Ball Xenoverse 2","Dimps","Bandai Namco Entertainment","September 7, 2017",""
"Dragon Ball Z: Kakarot","CyberConnect2","Bandai Namco Entertainment","September 22, 2021",""
"Dragon Ball Z: Super Butoden","Arc System Works","Bandai Namco Entertainment","September 27, 2018",""
"Dragon Blaze","Psikyo","Zerodiv","April 5, 2018",""
"Dragon Lapis","Exe Create","Kemco","November 5, 2020",""
"Dragon Marked for Death","Inti Creates","Inti Creates","January 31, 2019","[385]"
"Dragon Quest","Square Enix","JP: Square EnixWW: Nintendo","September 27, 2019",""
"Dragon Quest II","Square Enix","JP: Square EnixWW: Nintendo","September 27, 2019",""
"Dragon Quest II HD-2D Remake","Team Asano, Amata K.K.","Square Enix","2025",""
"Dragon Quest III","Square Enix","JP: Square EnixWW: Nintendo","September 27, 2019",""
"Dragon Quest III HD-2D Remake","Team Asano, Amata K.K.","Square Enix","November 14, 2024",""
"Dragon Quest X","Square Enix","Square Enix","September 21, 2017",""
"Dragon Quest X Offline","Square Enix","Square Enix","2022",""
"Dragon Quest XI","Square Enix","JP: Square EnixWW: Nintendo","September 27, 2019",""
"Dragon Quest Builders","Square Enix","JP: Square EnixWW: Nintendo","February 9, 2018",""
"Dragon Quest Builders 2","Square Enix, Omega Force","JP: Square EnixWW: Nintendo","December 20, 2018",""
"Dragon Quest HD-2D Remake","Team Asano, Amata K.K.","Square Enix","2025",""
"Dragon Quest Heroes: The World Tree's Woe and the Blight Below","Omega Force","Square Enix","March 3, 2017",""
"Dragon Quest Heroes II","Omega Force","Square Enix","March 3, 2017",""
"Dragon Quest Monsters: Terry's Wonderland Retro","Square Enix","Square Enix","September 17, 2019",""
"Dragon Quest Monsters: The Dark Prince","Square Enix","Square Enix","December 1, 2023","[386]"
"Dragon Quest Rivals Ace","Square Enix","Square Enix","August 13, 2020",""
"Dragon Quest Treasures","Tose","Square Enix","December 9, 2022",""
"Dragon Question","Game Museum","Game Museum","July 1, 2021","[387]"
"Dragon Pinball","Super Power Up","JP: StarsignWW: EnjoyUp Games","May 10, 2019","[28][30][388]"
"Dragon Sinker","Exe Create","Kemco","February 22, 2018",""
"Dragon Snakes","My Next Games","My Next Games","May 9, 2019","[28][30]"
"Dragon Star Varnir","Compile Heart","Idea Factory","May 27, 2021",""
"DragonFangZ: The Rose & Dungeon of Time","Toydea","Toydea","December 14, 2017","[389]"
"Dragon's Dogma: Dark Arisen","Capcom","Capcom","April 23, 2019",""
"Dragon's Lair Trilogy","Digital Leisure","Digital Leisure","January 17, 2019",""
"The Drama Queen Murder","Ocean Media","Ocean Media","July 18, 2019","[390][391]"
"Draw a Stickman: Epic 2","Hitcents","Hitcents","January 11, 2018","[392]"
"Drawful 2","Jackbox Games","Jackbox Games","June 21, 2018",""
"Drawngeon: Dungeons of Ink and Paper","DarkDes Labs","Drageus Games","December 24, 2019","[393]"
"Drawn to Life: Two Realms","Digital Continue","505 Games","December 7, 2020",""
"Dream","Rising Win Tech","Winking","October 15, 2020",""
"Dream Alone","Fat Dog Games","Fat Dog Games","June 28, 2018","[394]"
"Dream Daddy: A Dad Dating Simulator","Game Grumps","Game Grumps","July 2, 2019",""
"DreamBall","JanduSoft","JanduSoft","December 23, 2019","[395]"
"Dreamcutter","Ten Pennyfingers, Shady Corner Games","EastAsiaSoft","February 2, 2024","[396]"
"DreamGallery","Funalter Games","Funalter Games","March 26, 2020","[91][122][397]"
"Dreamscaper","Afterburner Studios","Afterburner Studios","August 5, 2021","[398][399]"
"DreamWorks Dragons Dawn of New Riders","Climax Studios","Outright Games","February 1, 2019",""
"Dredge","Black Salt Games","Team17","March 30, 2023",""
"The Dresden Files Cooperative Card Game","Hidden Achievement","Hidden Achievement","May 4, 2020","[400][401]"
"Drift Legends","Black Fox Entertainment","Luxtrade","October 18, 2018",""
"Drift Racing Madness","Kodobur","Kodobur Yazilim","February 22, 2021",""
"Drink More Glurp","Catastrophic Overload","Yogscast Games","August 6, 2020","[402][403]"
"#Drive","Pixel Perfect Dude","PM Studios","February 16, 2021","[404]"
"Drive Buy","Glitchers","Glitchers","March 31, 2021",""
"Driving School Original","SC Ovilex Soft","SC Ovilex Soft","June 20, 2019","[117][118]"
"Drone Fight","Silverstar","Silverstar","April 12, 2018",""
"Drums","Sabec","Sabec","September 10, 2020","[405]"
"Drunk-Fu: Wasted Masters","Rusto","Rusto","January 10, 2020","[406]"
"Drunken Fist","Deklazon","EastAsiaSoft","December 23, 2020",""
"Dual Brain Vol. 1: Calculation","D-O","D-O","December 19, 2019","[407]"
"Dual Brain Vol. 2: Reflex","D-O","D-O","January 23, 2020","[408]"
"Dual Gear","Orbital Speed Studio","Corecell Technology","2021","[409]"
"Duck Game","Landon Podbielski","Adult Swim Games","May 2, 2019",""
"Duck Souls+","Green Dinosaur Games","Ratalaika Games","March 26, 2020","[91][122][410]"
"A Duel Hand Disaster: Trackher","Ask An Enemy Studios","Ask An Enemy Studios","June 10, 2019",""
"Duel Masters de Asobo","Takara Tomy","Takara Tomy","Q3 2021",""
"Duel on Board","Rebel Rabbit","indienova","March 4, 2021",""
"Duel Princess","Qureate","Qureate","January 13, 2022","[411]"
"Duke Nukem 3D: 20th Anniversary World Tour","Gearbox Software","Gearbox Publishing","June 23, 2020",""
"Dungeon and Puzzles","Nekolyst","Digital Crafter","April 1, 2021",""
"Dungeon Defenders: Awakened","Chromatic Games","Chromatic Games","August 4, 2021",""
"Dungeon Dinner: Fushigina Meikyuu no Bukimina Ryouri","Caerux","Caerux","June 20, 2019",""
"Dungeon Encounters","Cattle Call","Square Enix","October 14, 2021","[412]"
"Dungeon Limbus","GameIn","Troooze","December 28, 2020",""
"Dungeon Munchies","maJAJa","maJAJa, Chorus Worldwide","December 15, 2021","[413]"
"Dungeon Nightmares 1+2 Collection","K Monkey","K Monkey","January 18, 2021",""
"Dungeon of the Endless","Amplitude Studios","Playdigious","May 15, 2020",""
"Dungeon Rushers","Goblinz Studio","Plug In Digital","May 25, 2018","[414]"
"Dungeon Shooting","Sims","Starsign","January 14, 2020",""
"Dungeon Village","Kairosoft","Kairosoft","October 11, 2018",""
"Dungeon Warfare","Valsar","Singlecore Games","August 1, 2019",""
"Dungeons & Bombs","Sometimes You","Sometimes You","February 26, 2021",""
"DungeonTop","One Up Plus Entertainment","QubicGames","December 26, 2020",""
"Dungeonoid","Super Power Up Games","Super Power Up Games","December 25, 2020",""
"Dungeons & Aliens","Kool2Play","Arts Alliance","March 15, 2019","[415][167]"
"Dungreed","Team Horay","Pikii","September 24, 2020","[416]"
"Duped","No Moss Studios","No Moss Studios","October 10, 2019","[417][418]"
"Dusk","David Szymanski","New Blood Interactive","October 28, 2021",""
"Dusk Diver","Jera Game Studio","JP: JustdanWW: PQube","October 24, 2019","[419]"
"Dusk Diver 2","Wanin Games","Justdan International","February 24, 2022","[420]"
"Dust & Neon","David Marquardt Studios","Rogue Games","February 16, 2023",""
"Dust: An Elysian Tail","Humble Hearts","Limited Run Games","September 10, 2018",""
"Dustoff Heli Rescue 2","Invictus Games, Ratalaika Games","Rainy Frog","January 25, 2018","[421]"
"Dusty Raging Fist","PD Design Studio","PD Design Studio","March 14, 2019","[415][167]"
"Dying: 1983","Nekcom","2P Games","TBA","[422]"
"Dying: Reborn","Nekcom","Coconut Island Games","January 17, 2019","[235][236][423]"
"Dying Light: Platinum Edition","Techland","Techland","October 19, 2021",""
"Dying Light 2 Stay Human","Techland","Techland","February 4, 2022",""
"Dyna Bomb","7 Raven Studios","7 Raven Studios","May 30, 2019","[424][425][426]"
"Dynamite Fishing: World Games","HandyGames","HandyGames","December 21, 2018","[427]"
"Dynasty Warriors 8: Empires","Omega Force","Koei Tecmo","November 9, 2017",""
