"Title","Developer(s)","Publisher(s)","Release date","Ref."
"Kirby Star Allies","HAL Laboratory","Nintendo","March 16, 2018",""
"Kirby's Dream Buffet","HAL Laboratory","Nintendo","August 17, 2022",""
"Kirby's Return to Dream Land Deluxe","HAL Laboratory","Nintendo","February 24, 2023",""
"Kishi Fujii Souta no Shogi Training","Game Studio","Game Studio","March 5, 2020","[202]"
"Kissed by the Baddest Bidder","Voltage","Voltage","November 28, 2019","[203][204]"
"Kitaria Fables","MassHive Media","PQube","September 2, 2021","[205]"
"Kitsune Tails","Kitsune Games, MidBoss","Ratalaika Games","2022","[206]"
"Kittens and Yarn","Pinel Games","Silesia Games","February 10, 2022","[207]"
"Kitten Squad","Arcade Distillery","People for the Ethical Treatment of Animals","May 10, 2018","[208]"
"Klang 2","Tinimations","Ratalaika Games","November 17, 2021","[209]"
"Klaus","La Cosa Entertainment","La Cosa Entertainment","June 18, 2020",""
"Klonoa Phantasy Reverie Series","Monkey Craft","Bandai Namco Entertainment","July 7, 2022",""
"Knight Squad","Chainsawecome Games","Chainsawecome Games","June 5, 2020",""
"Knight Squad 2","Chainsawecome Games","Chainsawecome Games","April 14, 2021",""
"Knight Terrors","Freakzone Games","Nicalis","October 24, 2017","[210]"
"A Knight's Quest","Sky9 Games","Curve Digital","October 10, 2019","[211][212]"
"Knightin'+","Muzt Die Studios","Ratalaika Games","February 20, 2020","[23][198][213]"
"Knights and Bikes","Foam Sword Games","JP: PlayismWW: Double Fine Productions","February 6, 2020",""
"Knights & Guns","Baltoro Games","Baltoro Games","September 9, 2021","[214]"
"Knights in the Nightmare Remaster","Sting","Sting","2022","[215]"
"Knights of Pen and Paper +1 Deluxier Edition","Behold Studios, Seaven Studio","JP: Worker BeeWW: Plug In Digital","May 29, 2018",""
"Knives Out","NetEase","NetEase","October 31, 2019","[216]"
"Knockout City","Velan Studios","Electronic Arts","May 21, 2021",""
"Knockout Home Fitness","Pocket","JP: PocketNA: Xseed GamesPAL: Marvelous Europe","October 29, 2020","[217][218]"
"Knowledge Trainer: Trivia","The Binary Family","The Binary Family","November 28, 2019","[219]"
"Kochira, Haha Naru Hoshi Yori","Daisyworld","Nippon Ichi Software","October 28, 2021","[220]"
"Koi DX","Circle Entertainment","Circle Entertainment","October 5, 2017","[221]"
"Koi no Hanasaku Hyakkaen","Takuyo","Takuyo","January 30, 2020","[222]"
"Koi Suru Otome to Shugo no Tate – Re:boot The ""Shield-9""","Giga","Entergram","November 26, 2020","[223]"
"Kona","Parabole","Koch Media","March 9, 2018",""
"KonoSuba: God's Blessing on this Wonderful World! Labyrinth of Hope and the Gathering of Adventurers! Plus","Entergram","Entergram","August 27, 2020",""
"KonoSuba: God's Blessing on this Wonderful World! Love for this Tempting Attire","Mages","Mages","September 24, 2020",""
"Koral","Carlos Coronado","Carlos Coronado","May 16, 2019","[224][225]"
"Kotoba no Puzzle: Moji Pittan Encore","Bandai Namco","Bandai Namco","April 2, 2020","[226]"
"Kotodama: The 7 Mysteries of Fujisawa","Art Co., Ltd","PQube","May 31, 2019",""
"Kowloon Youma Gakuen Ki: Origin of Adventure","Toy Box","Arc System Works","June 4, 2020","[227]"
"Kowloon's Gate VR: Suzaku","Jetman","Jetman","TBA","[228]"
"Kowloon's Rhizome: A Day of the Fire","MCF, Uani Studio","Uani Studio","TBA","[229]"
"KukkoroDays","Qureate","Qureate","August 6, 2020","[230]"
"Kumo","Benjamin Gregg","Tales Art Studio","TBA","[231]"
"Kunai","TurtleBlaze","JP: Intra GamesWW: The Arcade Crew","February 6, 2020","[232][233]"
"KungFu Kickball","WhaleFood Games","Blowfish Games","December 2, 2021","[234]"
"Kunio-kun: The World Classics Collection","Technōs Japan","Arc System Works","December 20, 2018",""
"Kuso","Mokuzai Studio","Mokuzai Studio","November 20, 2018","[235][236]"
"Kuukiyomi: Consider It!","G-Mode","G-Mode","August 30, 2018","[237][238]"
"Kwaidan: Azuma Manor Story","Gudouan","Rainy Frog","August 20, 2020","[239]"
"Kyukyoku Tiger-Heli","M2","M2","October 28, 2021","[240]"
"L.A. Noire","Team Bondi, Virtuos","Rockstar Games","November 14, 2017",""
"La-Mulana","Nigoro","Playism","March 17, 2020",""
"La-Mulana 2","Nigoro","Playism","March 17, 2020",""
"Labyrinth of Refrain: Coven of Dusk","Nippon Ichi Software","Nippon Ichi Software","September 18, 2018",""
"Labyrinth Legend","Shinobi Games","JP: RegistaWW: NIS America","January 28, 2021","[241]"
"Labyrinth of Zangetsu","Acquire","Acquire","TBA",""
"Laid-Back Camp: Have a Nice Day!","Mages","Mages","November 11, 2021",""
"Laid-Back Camp -Virtual- Fumoto Campsite","Gemdrops","Gemdrops","April 8, 2021",""
"Laid-Back Camp -Virtual- Lake Motosu","Gemdrops","Gemdrops","March 4, 2021",""
"Lair of the Clockwork God","Size Five Games","Size Five Games","September 4, 2020","[242]"
"Lamentum","Obscure Tales","Neon Doctrine","August 26, 2021","[243]"
"Langrisser I & II HD Remastered","Chara-Ani","JP: Kadokawa GamesWW: NIS America","April 18, 2019",""
"The Language of Love","ebi-hime","Ratalaika Games","October 30, 2020","[244]"
"Lanota","Noxy Games","Noxy Games","June 14, 2018",""
"Lapis x Labyrinth","Nippon Ichi Software","JP: Nippon Ichi SoftwareWW: NIS America","November 29, 2018","[245][246]"
"Lara Croft and the Guardian of Light","Feral Interactive","Square Enix","2022",""
"Lara Croft and the Temple of Osiris","Feral Interactive","Square Enix","2022",""
"The Last Blade: Beyond the Destiny","SNK","SNK","October 28, 2020","[247]"
"The Last Campfire","Hello Games","Hello Games","August 27, 2020",""
"The Last Cube","Improx Games","Improx Games","TBA","[248]"
"Last Day of June","Ovosonico","505 Games","March 16, 2018",""
"The Last Door","The Game Kitchen","Plug In Digital","May 22, 2019",""
"Last Encounter","Silesia Games","Silesia Games","February 21, 2020","[23][198]"
"LastFight","Piranaking","Piranaking","November 20, 2019","[249]"
"The Last Friend","Stonebot Studio, Skystone Games","Skystone Games","April 7, 2022","[250]"
"The Last Kids on Earth and the Staff of Doom","Stage Clear Studios","Outright Games","June 4, 2021",""
"Last Light","Team Corn Field","Crest","TBA","[251]"
"The Last Remnant Remastered","Square Enix","Square Enix","June 10, 2019",""
"Last Stop","Variable State","Annapurna Interactive","July 22, 2021",""
"Later Alligator","SmallBu, Pillow Fight","Pillow Fight","March 16, 2021",""
"Later Daters","Bloom Digital Media","Bloom Digital Media","April 16, 2020","[252]"
"Lawnmower Game: Next Generation","Ultimate Games","Ultimate Games","February 28, 2021",""
"Lawnmower Game: Racing","Ultimate Games","Ultimate Games","February 25, 2021",""
"Layers of Fear: Legacy","Bloober Team","JP: Circle EntertainmentWW: Aspyr","February 21, 2018",""
"Layers of Fear 2","Bloober Team","JP: NA PublishingWW: Bloober Team","May 20, 2021",""
"Layton's Mystery Journey","Level-5","Level-5","August 9, 2018",""
"Layton's Mystery Journey: Katrielle and The Millionaires' Conspiracy Deluxe Edition Plus","H.a.n.d.","Level-5","July 8, 2021",""
"League of Evil","Ravenous Games","Ratalaika Games","August 31, 2017",""
"Learn with Nanami! Listening and Reading Test Complete Master","Media5","Media5","December 21, 2017",""
"Legal Dungeon","Somi","Playism","February 25, 2021","[253]"
"The Legend of Bum-bo","Edmund McMillen, James Interactive","Nicalis","June 29, 2022","[254]"
"The Legend of Dark Witch","Inside System","Inside System","October 24, 2019","[255]"
"The Legend of Heroes: Trails at Sunrise","UserJoy Technology","Nihon Falcom","August 27, 2019",""
"The Legend of Heroes: Trails from Zero","Nihon Falcom","NIS America","February 25, 2021",""
"The Legend of Heroes: Trails in the Sky the 1st","Nihon Falcom","Nihon Falcom","2025",""
"The Legend of Heroes: Trails into Reverie","Nihon Falcom","NIS America","August 26, 2021",""
"The Legend of Heroes: Trails of Cold Steel","Nihon Falcom, Clouded Leopard Entertainment","Nihon Falcom","July 8, 2021",""
"The Legend of Heroes: Trails of Cold Steel II","Nihon Falcom, Clouded Leopard Entertainment","Nihon Falcom","August 5, 2021",""
"The Legend of Heroes: Trails of Cold Steel III","Nihon Falcom, Engine Software","JP: Nippon Ichi SoftwareWW: NIS America","March 19, 2020",""
"The Legend of Heroes: Trails of Cold Steel IV","Nihon Falcom, Engine Software","JP: Nippon Ichi SoftwareWW: NIS America","March 18, 2021",""
"The Legend of Heroes: Trails to Azure","Nihon Falcom","NIS America","April 22, 2021",""
"The Legend of Heroes: Trails Through Daybreak","Nihon Falcom","NIS America","July 5, 2024",""
"Legend of Keepers: Career of a Dungeon Manager","Goblinz Studio","Goblinz Studio","April 29, 2021","[256]"
"The Legend of Nayuta: Boundless Trails","Nihon Falcom, PH3 Games","JP: Nihon FalcomWW: NIS America","May 26, 2022",""
"Legend of Kay","Kaiko","THQ Nordic","May 29, 2018",""
"Legend of Mana","Square Enix","Square Enix","June 24, 2021",""
"The Legend of Zelda: Breath of the Wild","Nintendo EPD","Nintendo","March 3, 2017",""
"The Legend of Zelda: Echoes of Wisdom","Nintendo EPD","Nintendo","September 26, 2024",""
"The Legend of Zelda: Link's Awakening","Grezzo","Nintendo","September 20, 2019",""
"The Legend of Zelda: Skyward Sword HD","Tantalus Media","Nintendo","July 16, 2021",""
"The Legend of Zelda: Tears of the Kingdom","Nintendo EPD","Nintendo","May 12, 2023","[257]"
"Legends of Ethernal","Lucid Dreams Studio","JP: NA PublishingWW: Natsume Inc.","September 24, 2020","[258][259]"
"Lego 2K Drive","Visual Concepts","2K","May 19, 2023",""
"Lego Brawls","RED Games","The Lego Group","June 2022",""
"Lego Builder's Journey","Light Brick Studio","The Lego Group","June 22, 2021",""
"Lego City Undercover","TT Fusion","Warner Bros. Interactive Entertainment","April 4, 2017",""
"Lego DC Super-Villains","TT Fusion","Warner Bros. Interactive Entertainment","October 16, 2018",""
"Lego Harry Potter Collection","TT Games","Warner Bros. Interactive Entertainment","October 30, 2018",""
"Lego The Incredibles","TT Games","Warner Bros. Interactive Entertainment","June 15, 2018",""
"Lego Jurassic World","TT Games","Warner Bros. Interactive Entertainment","September 17, 2019",""
"Lego Marvel Super Heroes","TT Games","Warner Bros. Interactive Entertainment","October 5, 2021",""
"Lego Marvel Super Heroes 2","TT Games","Warner Bros. Interactive Entertainment","November 14, 2017",""
"The Lego Movie 2 Videogame","TT Games","Warner Bros. Interactive Entertainment","February 26, 2019",""
"Lego Ninjago Movie Video Game","TT Games","Warner Bros. Interactive Entertainment","September 22, 2017",""
"Lego Star Wars: The Skywalker Saga","TT Games","Warner Bros. Interactive Entertainment","April 5, 2022",""
"Lego Worlds","TT Games","Warner Bros. Interactive Entertainment","September 5, 2017",""
"Legrand Legacy: Tale of the Fatebounds","Semisoft","Another Indie","January 24, 2019",""
"Leisure Suit Larry: Wet Dreams Don't Dry","CrazyBunch","Assemble Entertainment","June 13, 2019",""
"Leisure Suit Larry: Wet Dreams Dry Twice","CrazyBunch","Assemble Entertainment","May 18, 2021",""
"Lend Fleur","Idea Factory","Idea Factory","April 25, 2019","[260]"
"Let's Sing 2020","Voxler","Ravenscourt","October 24, 2019","[261][262]"
"Let's Sing 2021","Voxler","Ravenscourt","November 13, 2020","[263]"
"Let's Sing Country","Voxler","Koch Media","October 25, 2019",""
"Let's Sing Queen","Voxler","JP: Koch MediaWW: Ravenscourt","October 2, 2020","[264]"
"Lethal League Blaze","Team Reptile","JP: Oizumi AmuzioWW: Team Reptile","July 12, 2019",""
"Letter Quest Remastered","Bacon Bandit Games","Digerati","November 23, 2017","[265]"
"Levelhead","Butterscotch Shenanigans","Butterscotch Shenanigans","April 30, 2020","[266][267]"
"L.F.O.: Lost Future Omega","Kusamochi Factory's Workshop","Mebius","December 28, 2017","[268]"
"The Liar Princess and the Blind Prince","Nippon Ichi Software","Nippon Ichi Software","May 31, 2018",""
"Liberated","Atomic Wolf","Walkabout Games","June 2, 2020",""
"Lichtspeer: Double Speer Edition","Lichthund","Crunching Koalas","September 7, 2017",""
"Life Is Strange","Dontnod Entertainment","Square Enix","February 1, 2022",""
"Life Is Strange 2","Dontnod Entertainment","Square Enix","February 2, 2023",""
"Life Is Strange: Before the Storm","Dontnod Entertainment","Square Enix","February 1, 2022",""
"Life Is Strange: True Colors","Deck Nine","Square Enix","December 7, 2021",""
"Life of Fly","EpiXR Games","EpiXR Games","January 14, 2021","[269]"
"Light Fall","Bishop Games","Bishop Games","April 26, 2018","[270]"
"Light Fingers","Numizmatic","Numizmatic","September 20, 2018","[271]"
"Lightseekers","PlayFusion","PlayFusion","January 10, 2019","[272]"
"Lil Gator Game","Megawobble","Playtonic Friends","2022","[273]"
"Lil' Guardsman","Hilltop Studios","Versus Evil, TinyBuild","January 23, 2024","[274]"
"Limbo","Playdead","Playdead","June 28, 2018",""
"Lineage W","NCSoft","NCSoft","2022",""
"Linelight","Plug In Digital","Plug In Digital","November 12, 2020","[275]"
"Lines X","Konstructors Entertainment","Nestor Yavorskyy","June 27, 2019","[25][26]"
"Lines XL","Nestor Yavorskyy","JP: Hook GamesWW: Nestor Yavorskyy","February 20, 2020","[23][198][276]"
"Link-a-Pix Deluxe","Rainy Frog","JP: Rainy FrogWW: Lightwood Games","December 19, 2019","[277]"
"Linn: Path of Orchards","Fanoos Games","CarbonFire Studio","August 14, 2020","[278][279]"
"Lisa: Definitive Edition","Dingaling Productions","Serenity Forge","July 18, 2023","[280]"
"Little Bit War","Ruten no Oheya","Mediascape","December 5, 2019","[47][48]"
"Little Busters!","Key","Prototype","April 23, 2020",""
"Little Devil Inside","Neostream Interactive","Neostream Interactive","TBA",""
"Little Dragons Café","Aksys Games","Aksys Games","August 24, 2018","[281]"
"Little Friends: Dogs & Cats","Neilo","Imagineer","December 6, 2018",""
"A Little Golf Journey","Okidokico","Playtonic Games","October 14, 2021","[282]"
"Little Goody Two Shoes","AstralShiftPro","Square Enix Collective","October 31, 2023",""
"Little Inferno","Tomorrow Corporation","Tomorrow Corporation","March 16, 2017",""
"Little Kitty, Big City","Double Dagger Studio","Double Dagger Studio","May 9, 2024",""
"Little Nightmares","Tarsier Studios","Bandai Namco Entertainment","May 18, 2018",""
"Little Nightmares II","Tarsier Studios","Bandai Namco Entertainment","February 11, 2021",""
"Little Nightmares III","Supermassive Games","Bandai Namco Entertainment","2025",""
"Little Noah: Scion of Paradise","Cygames, Grounding","Cygames","June 28, 2022",""
"Little Shopping","Ultimate Games","Ultimate Games","March 12, 2019","[78][79]"
"Little Town Hero","Game Freak","Game Freak","October 16, 2019",""
"Little Triangle","Cotton Game","KonanDenki","March 1, 2018","[283]"
"Live A Live","Square Enix","Square Enix","July 22, 2022",""
"Livestream: Escape from Hotel Izanami","Qureate","Qureate","April 15, 2021","[284]"
"Llamasoft: The Jeff Minter Story","Digital Eclipse","Digital Eclipse","March 13, 2024",""
"Locomotion","Polyfox","Polyfox","July 30, 2020","[285][286]"
"Loco Motive","Robust Game","Chucklefish","2022","[287]"
"Lode Runner Legacy","Tozai Games","Tozai Games","March 29, 2018",""
"L.O.L Surprise! B.Bs Born to Travel","Xaloc Studios","Outright Games","October 7, 2022","[288]"
"L.O.L. Surprise! Movie Night","Nighthawk Interactive","Nighthawk Interactive","October 26, 2021","[289][290]"
"L.O.L Surprise! Remix: We Rule The World","Maestro Interactive Games","Nighthawk Interactive","November 3, 2020","[291]"
"Lonely Mountains: Downhill","Megagon","Thunderful","May 7, 2020","[119][120][292]"
"The Long Dark","Hinterland Studio","Hinterland Studio","September 17, 2020",""
"The Long Reach","Painted Black Games","Painted Black Games","March 15, 2018","[293]"
"The Longest Five Minutes","Syupro-DX","NIS America","February 13, 2018","[294]"
"The Longing","Studio Seufz","Application Systems Heidelberg","April 14, 2021",""
"Loop Hero","Four Quarters","Devolver Digital","December 9, 2021",""
"Loopers","Key","Prototype","2022","[295]"
"The Lord of the Rings: Gollum","Daedalic Entertainment","Daedalic Entertainment","2022",""
"The Lord of the Rings: Adventure Card Game","Fantasy Flight Games","Asmodee","November 5, 2019",""
"Lost Artifacts: Soulstone","8Floor Games","8Floor Games","May 9, 2019","[296][297]"
"Lost Castle","Hunter Studios","Hunter Studios","September 19, 2019","[298]"
"The Lost Child","Kadokawa Shoten","NIS America","June 19, 2018",""
"The Lost Cube","Red Mount Media","JanduSoft","February 25, 2021","[299]"
"Lost Ember","Mooneye Studios","Mooneye Studios","September 24, 2020","[300][301][302]"
"Lost in Harmony","DigixArt","JP: WorkerBeeNA: PlaydiusPAL: Plug In Digital","June 21, 2018","[303][304][305]"
"Lost in Play","Happy Juice Games","Joystick Ventures","August 10, 2022",""
"Lost in Random","Zoink Games","Electronic Arts","September 10, 2021",""
"The Lost Light of Sisu","Solvarg","Solvarg","February 27, 2019","[41][42]"
"Lost Ruins","Tokyo RPG Factory","Square Enix","October 12, 2017",""
"Lost Sphear","Altari Games","DANGEN Entertainment","June 6, 2022","[306]"
"Lost Words: Beyond the Page","Sketchbook Games","Modus Games","April 6, 2021","[307]"
"Love","Fred Wood","Mokuzai Studio","February 14, 2019",""
"Love 3","Fred Wood","Screenwave Media","December 7, 2021","[308]"
"Love Esquire","Yangyang Mobile","Mama Morin","August 12, 2021","[309]"
"Love Letter from Thief X","Voltage","Voltage","July 9, 2020","[310]"
"Lovecraft's Untold Stories","Forsaken Games","Forsaken Games","May 10, 2019","[296][297]"
"LoveKami: Divinity Stage","MoeNovel","MoeNovel","November 26, 2020","[311]"
"LoveR Kiss","Sweet One","Kadokawa Games","February 27, 2020","[312]"
"LoverPretend","Idea Factory","Idea Factory","March 25, 2021","[313]"
"Lovers in a Dangerous Spacetime","Asteroid Base","Asteroid Base","October 3, 2017",""
"Lucah: Born of a Dream","melessthanthree","Syndicate Atomic","July 3, 2019","[314][315]"
"Luigi's Mansion 2 HD","Next Level Games","Nintendo","June 27, 2024","[316]"
"Luigi's Mansion 3","Next Level Games","Nintendo","October 31, 2019",""
"Lumines Remastered","Resonair","Enhance Games","June 26, 2018",""
"Lumini","Speelbaars","JP: EastAsiaSoftWW: 2Awesome Studio","January 24, 2020","[317][318]"
"Lumione","Glimmer Studio","Perfect World Games","October 13, 2021","[319]"
"Lumo","Triple Eh?","Rising Star Games","November 16, 2017",""
"Luna: The Shadow Dust","Lantern Studio","Coconut Island Games","October 22, 2020","[320]"
"Lunar Remastered Collection","Game Arts","GungHo Online Entertainment","2025","[321]"
"Lunch A Palooza","Seashell Studio","Seashell Studio","November 3, 2020","[322]"
"Lunistice","A Grumpy Fox","Deck13","September 2, 2022","[323]"
"Lust for Darkness","Movie Games Lunarium","SimFabric","July 12, 2019",""
"Lydia","Platonic Partnership","Nakana","January 17, 2020","[324]"
"Mable & the Wood","Graffiti Games","Triplevision","October 10, 2019",""
"Macbat 64: Journey of a Nice Chap","Siactro","Diplodocus Games","October 2, 2020","[325]"
"MachiKnights: Blood Bagos","Toorock","CFK","March 14, 2019","[296][297][326]"
"Machinarium","Amanita Design","Amanita Design","November 1, 2018",""
"Mad Carnage","Drageus Games","QubicGames","February 2, 2018","[327]"
"Mad Father","Sen","Playism","November 5, 2020",""
"Mad Rat Dead","Nippon Ichi Software","JP: Nippon Ichi SoftwareWW: NIS America","October 29, 2020",""
"Made in Abyss: Binary Star Falling into Darkness","Spike Chunsoft","Spike Chunsoft","2022",""
"Maddening Euphoria","Pocket Company","Chequered Ink","June 28, 2019","[328][329]"
"Mages of Mystralia","Borealys Games","JP: H2 InteractiveWW: Borealys Games","January 29, 2019",""
"Magical High-School Girl","illuCallab","Sekai Games","June 7, 2018","[330]"
"MagiCat","Kucing Rembes","Toge Productions","September 20, 2018","[331]"
"Magic Scroll Tactics","Otori Denshi","Mediascape","October 25, 2018","[332]"
"The Magister","Nerdook","Digerati","2021","[333]"
"Maglam Lord","Felistella","JP: D3 PublisherWW: PQube","March 18, 2021","[334][335]"
"The Mahjong","D3 Publisher","D3 Publisher","June 21, 2018","[336]"
"Mahjong Stories: Vampire Romance","JetDogs","JetDogs","March 5, 2019","[337]"
"Mahōtsukai no Yoru","Type-Moon","Aniplex","December 2022",""
"Maiden & Spell","mino_dev","Nippon Ichi Software","April 8, 2021",""
"Maid of Sker","Wales Interactive","Wales Interactive","November 26, 2020","[338]"
"Mail Mole","Talpa Games","Undergames","March 4, 2021",""
"The Making of Karateka","Digital Eclipse","[Digital Eclipse","August 29, 2023","[339][340]"
"Mana Spark","Behemutt, Kishimoto Studios","QubicGames","December 22, 2018","[341]"
"Maneater","Tripwire Interactive, Blindside Interactive","Tripwire Interactive, Deep Silver","May 25, 2021",""
"Manifold Garden","William Chyr Studio","William Chyr Studio","August 18, 2020",""
"Mantis Burn Racing","VooFoo Studios","JP: KonamiWW: VooFoo Studios","November 23, 2017","[342]"
"Maquette","Graceful Decay","Annapurna Interactive","May 25, 2023",""
"Marble It Up!","Bad Habit","Bad Habit","September 29, 2018","[343]"
"March to a Million","Kairosoft","Kairosoft","December 5, 2019","[344][345][346]"
"Märchen Forest: Mylne and the Forest Gift","PrimaryOrbit","Clouded Leopard Entertainment","January 28, 2021","[347]"
"Maria the Witch","Naps Team","Naps Team","November 9, 2017","[348]"
"Mario & Luigi: Brothership","Nintendo","Nintendo","November 7, 2024",""
"Mario & Sonic at the Olympic Games Tokyo 2020","Sega","Sega","November 1, 2019",""
"Mario + Rabbids Kingdom Battle","Ubisoft Milan","Ubisoft","August 29, 2017",""
"Mario + Rabbids Sparks of Hope","Ubisoft Milan","Ubisoft","October 20, 2022",""
"Mario Golf: Super Rush","Camelot Software Planning","Nintendo","June 25, 2021",""
"Mario Kart 8 Deluxe","Nintendo EPD","Nintendo","April 28, 2017",""
"Mario Kart Live: Home Circuit","Nintendo, Velan Studios","Nintendo","October 16, 2020",""
"Mario Party Superstars","NDcube","Nintendo","October 29, 2021",""
"Mario Strikers: Battle League","Next Level Games","Nintendo","June 10, 2022",""
"Mario Tennis Aces","Camelot Software Planning","Nintendo","June 22, 2018",""
"Mario vs. Donkey Kong","Nintendo Software Technology Corporation","Nintendo","February 16, 2024",""
"Marisa and Alice's Trap Tower","Desunoya","Mediascape","October 4, 2019","[349]"
"Mark of the Ninja","Klei Entertainment","Klei Entertainment","October 9, 2018",""
"Mars: Chaos Menace","Byte4Games","JP: EastAsiaSoftWW: BLG Publishing","November 16, 2018","[350][351][352]"
"Mars Horizon","Auroch Digital","The Irregular Corporation","November 17, 2020",""
"Marvel Ultimate Alliance 3: The Black Order","Team Ninja","Nintendo","July 19, 2019",""
"Marvel vs. Capcom Fighting Collection: Arcade Classics","Capcom","Capcom","September 12, 2024",""
"Marvel's Guardians of the Galaxy","Eidos-Montréal","Square Enix","October 26, 2021",""
"Marvel's Midnight Suns","Firaxis Games","2K Games","TBA",""
"Mary Skelter 2","Compile Heart","Idea Factory","August 22, 2019","[353]"
"Mary Skelter Finale","Compile Heart","Idea Factory","November 5, 2020","[354]"
"Mask of Mists","Sometimes You","Sometimes You","September 2, 2020","[355]"
"Masquerada: Songs and Shadows","Witching Hour Studios","Ysbryd Games","May 9, 2019","[296][297]"
"Mastercube","Warlock Arts","Warlock Arts","August 8, 2020","[356]"
"Master Detective Archives: Rain Code","Too Kyo Games, Spike Chunsoft","Spike Chunsoft","2023",""
"Masters of Anima","Passtech Games","Focus Home Interactive","April 10, 2018","[357]"
"Mastho is Together","Kind Cat Games","EastAsiaSoft","November 17, 2021","[358]"
"Match","Sabec","Sabec","June 4, 2020","[359][360]"
"Match Three: Pirates! Heir to Davy Jones","Mindscape","Mindscape","December 25, 2020",""
"Matchpoint: Tennis Championships","Torus Games","Kalypso Media","2022","[361]"
"Mathematical Power Wang Junior High School: Year 1","Media5","Media5","March 1, 2018","[362]"
"Mathematical Power Wang Junior High School: Year 2","Media5","Media5","March 1, 2018","[363]"
"Mathematical Power Wang Junior High School: Year 3","Media5","Media5","March 1, 2018","[364]"
"MathLand","Artax Games","NA: Artax GamesPAL: Didactoons","February 10, 2020","[365]"
"Max: The Curse of Brotherhood","Stage Clear Studios","Stage Clear Studios","December 21, 2017",""
"Mayhem Brawler","Hero Concept","Hero Concept","August 18, 2021",""
"Mazezam","eSolutions Nordic","eSolutions Nordic","August 7, 2020","[366][367]"
"MazM: Jekyll and Hyde","Growing Seeds","CFK","April 2, 2020",""
"Mecho Tales","Arcade Distillery","Arcade Distillery","December 14, 2017","[368]"
"Mecho Wars: Desert Ashes","Arcade Distillery","Arcade Distillery","January 10, 2019",""
"Mechstermination Force","Hörberg Productions","Hörberg Productions","April 3, 2019","[369][370][371]"
"Medabots Classics Plus: Kabuto Version","Imagineer","Imagineer","November 12, 2020",""
"Medabots Classics Plus: Kuwagata Version","Imagineer","Imagineer","November 12, 2020",""
"Mega Man 11","Capcom","Capcom","October 2, 2018",""
"Mega Man Battle Network Legacy Collection","Capcom","Capcom","April 14, 2023","[372]"
"Mega Man Legacy Collection","Capcom","Capcom","May 22, 2018",""
"Mega Man Legacy Collection 2","Capcom","Capcom","May 22, 2018",""
"Mega Man X Legacy Collection","Capcom","Capcom","July 24, 2018",""
"Mega Man X Legacy Collection 2","Capcom","Capcom","July 24, 2018",""
"Mega Man Zero/ZX Legacy Collection","Capcom","Capcom","February 25, 2020",""
"Mega Mall Story","Kairosoft","Kairosoft","January 17, 2019",""
"Mega Party: A Tootuff Adventure","Vetasoft","Microids","July 14, 2020","[373][374]"
"Megabyte Punch","Team Reptile","Team Reptile","May 7, 2020","[119][120][375]"
"Megadimension Neptunia VII","Idea Factory, Compile Heart","JP: Compile HeartWW: Idea Factory International","March 19, 2020",""
"Megaquarium","Auroch Digital","JP: Chorus WorldwideWW: Auroch Digital","October 18, 2019","[376]"
"Meganoid","Orange Pixel","Orange Pixel","September 8, 2020","[377]"
"Megaton Musashi","Level-5","Level-5","November 11, 2021","[378]"
"Megaton Rainfall","Pentadimensional Games","Pentadimensional Games","August 9, 2018",""
"Melty Blood: Type Lumina","French Bread","Delightworks","September 30, 2021",""
"Meiji Katsugeki Haikara Ryuuseigumi: Seibai Shimaseu, Yonaoshi Kagyou","Otomate","Idea Factory","September 24, 2020","[379]"
"Membrane","Perfect Hat","Perfect Hat","February 22, 2018","[380]"
"A Memoir Blue","Cloisters Interactive","Annapurna Interactive","TBA","[381]"
"Memory Lane","Playstige Interactive","Playstige Interactive","August 6, 2020","[382][383]"
"Memories Off Historia Vol. 1","Mages","Mages","March 25, 2021",""
"Memories Off Historia Vol. 2","Mages","Mages","March 25, 2021",""
"Memories Off: Innocent Fille","Mages","Mages","October 25, 2018",""
"The Men of Yoshiwara: Kikuya","Dogenzaka Lab","D3 Publisher","January 25, 2018","[384]"
"The Men of Yoshiwara: Ohgiya","Dogenzaka Lab","D3 Publisher","March 8, 2018","[385]"
"Menheraflesia: Flowering Abyss","Charon","Far East Studio","2021","[386]"
"Meow Motors","ArtVostok","ArtVostok","May 8, 2019","[296][297]"
"Mercenaries Blaze: Dawn of the Twin Dragons","Rideon","Rideon","October 1, 2020","[387]"
"Mercenaries Saga Chronicles","Circle Entertainment","Circle Entertainment","January 18, 2018",""
"Mercenary Kings: Reloaded","Tribute Games","Tribute Games","February 6, 2018",""
"Merchant of the Skies","Coldwild Games","AbsoDev","July 30, 2020","[388]"
"Mercury Race","Herrero Games","Herrero Games","February 7, 2019","[144][389]"
"The Messenger","Sabotage","Devolver Digital","August 30, 2018",""
"Metal Gear Solid: Master Collection","Konami","Konami","October 24, 2023",""
"Metal Max Xeno Reborn","24Frame, Cattle Call, Kadokawa Games","JP: Kadokawa GamesWW: PQube","September 10, 2020",""
"Metal Max: Wild West","24Frame, Cattle Call, Kadokawa Games","Kadokawa Games","2022","[390]"
"Metal Revolution","Next Studios","PM Studios","TBA","[391]"
"Metal Slug Tactics","Leikir Studio","Dotemu","2022","[392]"
"Metal Unit","JellySnow","Neowiz","June 17, 2021","[393]"
