"Title","Developer(s)","Publisher(s)","Regions released","","","Ref."
"Expendable•Millennium Soldier: ExpendablePAL","Rage Software","Infogrames","Unreleased","November 16, 1999","April 22, 2000",""
"Expert","Nihon Bussan","Nihon Bussan","May 31, 1996","Unreleased","Unreleased",""
"Explosive Racing•X.RacingJP","Toka","FunsoftPALNichibutsuJP","February 11, 1998","December 5, 1997","Unreleased",""
"Extra Bright","To One","ASCII Entertainment","December 6, 1996","Unreleased","Unreleased",""
"Extreme 500","Ascaron","THQ","Unreleased","March 15, 2000","Unreleased",""
"Extreme Ghostbusters: Ultimate Invasion","Similis","LSP","Unreleased","March 2004","Unreleased",""
"Extreme Go-Kart Racing•Kart Race - Kimete wa Drift!JP","Now Production","Agetec","December 7, 2000","Unreleased","September 22, 2003",""
"Extreme Pinball","Epic Games","Electronic Arts","Unreleased","April 1996","March 28, 1996",""
"Extreme Power","Profire","CS","May 31, 1996","Unreleased","Unreleased",""
"F-1 Grand Prix 1996: Team Unei Simulation","Tomcat System","Coconuts Japan","January 17, 1997","Unreleased","Unreleased",""
"F1 2000","Visual Sciences","Electronic Arts","January 6, 2000","June 10, 2000","March 31, 2000",""
"F1 Championship Season 2000","Visual Sciences","Electronic Arts","Unreleased","November 24, 2000","September 30, 2000",""
"F1 Racing Championship","Ubisoft","Video System","Unreleased","April 30, 2000","October 11, 2000",""
"F1 World Grand Prix 2000","Eutechnyx","Eidos Interactive","Unreleased","March 23, 2001","March 30, 2001",""
"F1 World Grand Prix: 1999 Season","Lankhor, Video System","Eidos Interactive","Unreleased","December 30, 1999","December 30, 1999",""
"FA Manager","Krisalis Software","Eidos Interactive","Unreleased","August 1999","Unreleased",""
"The FA Premier League Football Manager 2000","Krisalis Software","Electronic Arts","Unreleased","October 1999","Unreleased",""
"The FA Premier League Football Manager 2001","Electronic Arts","Electronic Arts","Unreleased","September 2000","Unreleased",""
"FA Premier League Stars","Electronic Arts, Software Creations (PAL)","Electronic Arts","Unreleased","1999","Unreleased",""
"FA Premier League Stars 2001","Electronic Arts","Electronic Arts","Unreleased","2000","Unreleased",""
"Fade to Black","Delphine Software","Electronic Arts","May 2, 1997","July 1996","June 28, 1996",""
"Faire Games: Language Arts","Lightspan","Lightspan","Unreleased","Unreleased","1998",""
"Faire Games: Mathematics","Lightspan","Lightspan","Unreleased","Unreleased","1998",""
"Falcata","Gust","Gust","June 23, 1995","Unreleased","Unreleased",""
"Family Bowling•Wai Wai BowlingJP","Nihon Bussan","Nihon Bussan","August 6, 1998","Unreleased","Unreleased",""
"Family Chess","Magnolia","Magnolia","March 20, 2002","Unreleased","Unreleased",""
"Family Connection Demonstration","Lightspan","Lightspan","Unreleased","Unreleased","1998",""
"Family Card Game Fun Pack•Card SharkPAL•Trump Shiyouyo!JP•Trump Shiyouyo! Fukkoku-banJP","Bottom Up","Mud Duck ProductionsMidas Interactive EntertainmentPALBottom UpJPPure SoundJP","October 15, 1998August 5, 1999October 5, 2000","February 16, 2001","September 26, 2002",""
"Family Diamond","Magnolia","Magnolia","January 24, 2002","Unreleased","Unreleased",""
"Family Feud","Artech Studios","Hasbro Interactive","Unreleased","Unreleased","October 16, 2000",""
"Family Game Pack","The 3DO Company","The 3DO Company","Unreleased","Unreleased","March 14, 2000",""
"Family Games Compendium","Interactive Entertainment","Midas Interactive Entertainment","Unreleased","June 30, 2001","Unreleased",""
"Family Gunjin Shogi","Magnolia","Magnolia","March 20, 2002","Unreleased","Unreleased",""
"Family Igo 2","Magnolia","Magnolia","November 21, 2002","Unreleased","Unreleased",""
"Family Igo: Super Strong","Magnolia","Magnolia","January 24, 2002","Unreleased","Unreleased",""
"Family Mahjong 2","Magnolia","Magnolia","November 21, 2002","Unreleased","Unreleased",""
"Family Shogi: Super Strong","Magnolia","Magnolia","January 24, 2002","Unreleased","Unreleased",""
"The FamiRes","Artdink","Artdink","December 3, 1998","Unreleased","Unreleased",""
"FamiRes e Youkosou!","Bec","Bec","November 5, 1998","Unreleased","Unreleased",""
"The FamiRes: Shijou Saikyou no Menu","Human Entertainment","Human Entertainment","December 17, 1998","Unreleased","Unreleased",""
"Fantastep","Jaleco","Jaleco","April 25, 1997","Unreleased","Unreleased",""
"Fantastic Fortune","Fujitsu","CyberFront","May 24, 2001","Unreleased","Unreleased",""
"Fantastic Four","Acclaim","Acclaim","February 19, 1998","August 1997","September 30, 1997",""
"Fantastic Pinball Kyuutenkai","Technosoft","Technosoft","March 31, 1995","Unreleased","Unreleased",""
"Farland Saga: Toki no Michishirube","TGL","TGL","April 28, 1999","Unreleased","Unreleased",""
"Farland Story: Yottsu no Fuuin","TGL","TGL","November 27, 1997","Unreleased","Unreleased",""
"Fatal Fury: Wild Ambition","SNK","SNK","June 24, 1999","Unreleased","November 30, 1999",""
"Favorite Dear","NEC Interchannel","NEC Interchannel","February 25, 1999","Unreleased","Unreleased",""
"Favorite Dear: Enkan no Monogatari","NEC Interchannel","NEC Interchannel","September 27, 2001","Unreleased","Unreleased",""
"Favorite Dear: Junpaku no Yogensha","NEC Interchannel","NEC Interchannel","December 7, 2000","Unreleased","Unreleased",""
"Fear Effect","Kronos Digital Entertainment","Eidos Interactive","Unreleased","August 3, 2000","February 24, 2000",""
"Fear Effect 2: Retro Helix","Kronos Digital Entertainment","Eidos Interactive","November 15, 2001","March 23, 2001","February 21, 2001",""
"FEDA 2: White Surge the Platoon","Max Entertainment","Yanoman","April 18, 1997","Unreleased","Unreleased",""
"Felony 11-79","Climax Entertainment","ASCII Entertainment","May 23, 1997","December 1997","August 31, 1997",""
"Fever","Ichikawa","Ichikawa","November 11, 1999","Unreleased","Unreleased",""
"Fever 2","ICS","ICS","May 2, 2000","Unreleased","Unreleased",""
"Fever 3","ICS","ICS","November 2, 2000","Unreleased","Unreleased",""
"Fever 4","ICS","ICS","March 8, 2001","Unreleased","Unreleased",""
"Fever 5","ICS","ICS","September 20, 2001","Unreleased","Unreleased",""
"FIFA 96","EA Canada","Electronic Arts","Unreleased","December 1995AU,DE,PAL","November 22, 1995",""
"FIFA 97","EA Canada","Electronic Arts","June 20, 1997","November 1996","November 30, 1996",""
"FIFA: Road to World Cup 98","EA Canada","Electronic Arts","Unreleased","November 1997DE,PAL","December 1997",""
"FIFA 99","EA Canada","Electronic Arts","August 26, 1999","December 8, 1998","November 30, 1998",""
"FIFA 2000","EA Canada","Electronic Arts","Unreleased","November 1999","October 9, 1999",""
"FIFA 2001","EA Canada","Electronic Arts","Unreleased","November 3, 2000","November 14, 2000",""
"FIFA 2002","EA Canada","Electronic Arts","Unreleased","November 2, 2001","November 1, 2001",""
"FIFA Football 2003","EA Canada","Electronic Arts","Unreleased","November 1, 2002","November 11, 2002",""
"FIFA Football 2004","EA Canada","Electronic Arts","Unreleased","October 24, 2003","November 4, 2003",""
"FIFA 2005","EA Canada","Electronic Arts","Unreleased","October 15, 2004","October 12, 2004",""
"The Fifth Element","Kalisto Entertainment","SCEE","Unreleased","October 1, 1998","September 30, 1998",""
"Fighter Maker•3D Kakutou TsukuruJP","ASCII Entertainment","Agetec Inc., ASCII EntertainmentJP","July 30, 1998","1999","May 31, 1999",""
"Fighter's Impact","Taito","Taito","April 25, 1997","Unreleased","Unreleased",""
"Fighting Eyes","Bandit","Solan","December 17, 1998","Unreleased","Unreleased",""
"Fighting Force•Metal FistJP","Core Design","Eidos Interactive","January 15, 1998","November 1997","October 31, 1997",""
"Fighting Force 2","Core Design","Eidos Interactive","Unreleased","December 1999","November 30, 1999",""
"Fighting Illusion K-1 GP 2000","Daft","Xing Entertainment","October 5, 2000","Unreleased","Unreleased",""
"Fighting Illusion V: K-1 Grand Prix '99","Daft","Xing Entertainment","September 30, 1999","Unreleased","Unreleased",""
"Fighting Network RINGS","Naxat Soft","Naxat Soft","August 7, 1997","Unreleased","Unreleased",""
"Final Doom","Williams Entertainment","Williams EntertainmentNA, GT InteractiveEU","January 25, 1998","October 2, 1997","October 1, 1996",""
"Final Fantasy I","Square","Squaresoft","October 31, 2002","Unreleased","Unreleased",""
"Final Fantasy II","Square","Square","October 31, 2002","Unreleased","Unreleased",""
"Final Fantasy IV","Square","Square","March 21, 1997","Unreleased","Unreleased",""
"Final Fantasy V","Square","Squaresoft","March 19, 1998","Unreleased","Unreleased",""
"Final Fantasy VI","Tose","SCEE","March 11, 1999","March 1, 2002","September 30, 1999",""
"Final Fantasy VII","Square","SCEEPAL, Square Co., Ltd.JP, SCEANA","January 31, 1997","November 14, 1997","September 7, 1997",""
"Final Fantasy VIII","Square","SCEEPAL, Square Co., Ltd.JP, Square Electronic ArtsUS","February 11, 1999","October 27, 1999","September 9, 1999",""
"Final Fantasy IX","Square","SCEEPAL, Square Co., Ltd.JP, Square Electronic ArtsUS","July 7, 2000","February 16, 2001","November 13, 2000",""
"Final Fantasy Tactics","SquareSoft","SquareSoftJP, SCEANA","June 20, 1997","Unreleased","January 28, 1998","[63]"
"Final Round","Atlus","Atlus","March 12, 1998","Unreleased","Unreleased",""
"The Final Round•Konami Open GolfEU","Konami","Konami","June 21, 1996","November 1996","August 31, 1996",""
"Finger Flashing","Affect","Affect","July 15, 1999","Unreleased","Unreleased",""
"The Firemen 2: Pete & Danny","Human Entertainment","Human Entertainment","December 22, 1995","Unreleased","Unreleased",""
"Fire ProWrestling G","S-Neo","Human Entertainment","June 24, 1999","Unreleased","Unreleased",""
"Fire Pro Wrestling: Iron Slam '96","Human Entertainment","Human Entertainment","March 15, 1996","Unreleased","Unreleased",""
"Firebugs","Attention to Detail","Sony Computer Entertainment","Unreleased","October 18, 2002","Unreleased",""
"Firestorm: ThunderHawk 2•ThunderStrike 2NA","Core Design","Core Design Victor Interactive SoftwareJP","May 24, 1996","December 4, 1995","January 15, 1996",""
"Fire Woman Matoigumi","HuneX","Tokuma Shoten","March 26, 1998","Unreleased","Unreleased",""
"Firo & Klawd","Interactive Studios","BMG Interactive","June 13, 1997","November 1996","Unreleased",""
"First Kiss Story","HuneX","Human Entertainment","April 24, 1998","Unreleased","Unreleased",""
"First Queen IV: Varcia Senki","Kure","Kure","December 6, 1996","Unreleased","Unreleased",""
"Fish On! Bass","Pony Canyon","Pony Canyon","September 22, 1999","Unreleased","Unreleased",""
"Fisherman's Bait: A Bass Challenge•Exciting BassJP","Konami","Konami","September 23, 1998","Unreleased","January 31, 1999",""
"Fisherman's Bait 2: Big Ol' Bass•Exciting Bass 2JP","Konami","Konami Computer Entertainment Nagoya","September 30, 1999","Unreleased","November 24, 1999",""
"Fishing Club: Boat no Tsuriken","Success","Success","August 24, 2000","Unreleased","Unreleased",""
"Fishing Club: Bouhatei no Tsuriken","Success","Success","August 24, 2000","Unreleased","Unreleased",""
"Fishing Club: Hama no Tsuriken","Success","Success","August 24, 2000","Unreleased","Unreleased",""
"Fishing Freaks: BassRise Plus","Bandai","Bandai","February 3, 2000","Unreleased","Unreleased",""
"Fishing Koushien II","A-Wave","King Records","September 22, 1999","Unreleased","Unreleased",""
"FIST","Genki","Imagineer","November 22, 1996","Unreleased","Unreleased",""
"Flamberge no Seirei","Kid","Kid","April 27, 2000","Unreleased","Unreleased",""
"The Flintstones: Bedrock Bowling","Adrenalin Interactive","Ubisoft","Unreleased","August 18, 2000","September 19, 2000",""
"Floating Runner","Kokopel","THQ","January 19, 1996","1996","October 26, 1996",""
"Flying Squadron","Naps Team","Phoenix Games","Unreleased","2003","Unreleased",""
"Football Madness","Naps Team","Phoenix Games","Unreleased","March 28, 2003","Unreleased",""
"Ford Racing","Toolbox Design","Empire Interactive","Unreleased","February 16, 2001","March 6, 2001",""
"Ford Truck Mania","Alpine Studios, Inc.","Gotham Games","Unreleased","Unreleased","September 16, 2003",""
"Forget Me Not: Palette","Enterbrain","Enterbrain","April 26, 2001","Unreleased","Unreleased",""
"Formation Soccer '97: The Road To France","Human Entertainment","Human Entertainment","June 27, 1997","Unreleased","Unreleased",""
"Formation Soccer '98: Ganbare Nippon in France","Human Entertainment","Human Entertainment","June 4, 1998","Unreleased","Unreleased",""
"Formula 1","Bizarre Creations","Psygnosis","Unreleased","September 13, 1996","September 30, 1996",""
"Formula 1 98","Visual Sciences","Psygnosis","Unreleased","October 30, 1998","November 30, 1998",""
"Formula 1: Championship Edition•Formula 1 97EU,JP","Bizarre Creations","Psygnosis","January 15, 1998","September 26, 1997","September 15, 1997",""
"Formula Circus","Nihon Bussan","Nihon Bussan","May 2, 1997","Unreleased","Unreleased",""
"Formula GP","Kung Fu Games","Midas Interactive","Unreleased","February 21, 2003","Unreleased",""
"Formula Grand Prix: Team Unei Simulation 2 - 1997 Han","Tomcat System","Coconuts Japan","December 25, 1997","Unreleased","Unreleased",""
"Formula Karts Special Edition","Manic Media Productions","Telstar Electronic Studios","Unreleased","November 21, 1997","Unreleased",""
"Formula Nippon '99Formula NipponPAL","TYO","TYOJPEONPAL","September 9, 1999","2000","Unreleased",""
"Formula One 99","Studio 33","Psygnosis/SCEE","October 21, 1999","October 20, 1999","October 31, 1999",""
"Formula One 2000","Studio 33","SCEE","Unreleased","October 6, 2000","October 4, 2000",""
"Formula One 2001","Studio 33","SCEE","Unreleased","May 24, 2001","Unreleased",""
"Formula One Arcade","Studio 33","SCEE","Unreleased","July 19, 2001","Unreleased",""
"Forsaken","Probe Entertainment","Acclaim","Unreleased","April 1998BE April 1998FR April 1998NL April 1998PAL","April 30, 1998",""
"Fox Hunt","3Vision Games","Capcom","Unreleased","Unreleased","September 30, 1996",""
"Fox Junction","Trips","Trips","April 29, 1998","Unreleased","Unreleased",""
"FoxKids.com Micro Maniacs Racing•Denkou Sekka Micro RunnerJP•Micro ManiacsPAL","Codemasters","THQ","November 2, 2000","October 30, 2000","August 15, 2000",""
"Fox Sports Soccer '99","Gremlin Interactive","Fox Interactive","Unreleased","Unreleased","June 30, 1998",""
"Frank Thomas Big Hurt Baseball","Iguana Entertainment","Acclaim","September 13, 1996","October 1996","June 5, 1996",""
"Freestyle Boardin' '99•Phat Air: Extreme SnowboardingPAL•Zap! Snowboarding Trix '98JP","Atelier Double","Capcom, FunsoftPAL, Pony CanyonJP","December 25, 1997","August 1998","February 28, 1999",""
"Freestyle Motocross: McGrath vs. Pastrana","Z-Axis","Acclaim","Unreleased","December 8, 2000","November 5, 2000",""
"Free Talk Studio: Mari no Kimamana Oshaberi","Media Entertainment","Media Entertainment","September 25, 1997","Unreleased","Unreleased",""
"Frenzy!","SCI Entertainment Group","SCI","Unreleased","June 1998","Unreleased",""
"Frisky Tom","Nichibutsu","Hamster Corporation","July 25, 2002","Unreleased","Unreleased",""
"Frogger","SCE Studio Cambridge","Hasbro Interactive","May 28, 1998","November 1997","September 30, 1997","[64]"
"Frogger 2: Swampy's Revenge","Blitz Games","Hasbro Interactive","Unreleased","October 13, 2000","October 10, 2000",""
"From TV Animation - One Piece: Grand Battle!","Ganbarion","AtariPAL, BandaiJP","March 15, 2001","2003","Unreleased",""
"From TV Animation - One Piece: Grand Battle! 2","Ganbarion","Bandai","March 20, 2002","Unreleased","Unreleased",""
"Front Mission 1st","Square, G-Craft","Square","October 23, 2003","Unreleased","Unreleased",""
"Front Mission 2","Square","Square","September 25, 1997","Unreleased","Unreleased",""
"Front Mission 3","Square","Square Europe (European Release), Square Electronic Arts (USA Release), Square Co., Ltd. (Japanese Release)","September 2, 1999","August 11, 2000","February 29, 2000",""
"Front Mission: Alternative","Square","Square","December 18, 1997","Unreleased","Unreleased",""
"Fun! Fun! Pingu","Sony Music Entertainment Japan","Sony Music Entertainment Japan","November 18, 1999","Unreleased","Unreleased",""
"Furimukeba Tonari Ni","Zero System","Zero System","April 26, 2001","Unreleased","Unreleased",""
"Fushigi Deka","Capcom","Capcom","October 26, 2000","Unreleased","Unreleased",""
"Fushigi no Kuni no Angelique","Koei","Koei","February 28, 1997","Unreleased","Unreleased",""
"Future Cop: LAPD","Electronic Arts","Electronic Arts","August 5, 1999","September 28, 1998","August 31, 1998",""
"Future RacerPAL•Defeat LightningJP","D Cruise","Midas InteractivePAL, D CruiseJP","May 23, 1997","April 12, 2002","Unreleased",""
"Fuuraiki","Fog","Fog","January 18, 2001","Unreleased","Unreleased",""
"Fuuun Gokuu Ninden","Aicom","Aicom","August 30, 1996","Unreleased","Unreleased",""
"G-Darius","Taito","THQ","April 9, 1998","1998","September 30, 1998",""
"G-O-D Pure: Growth or Devolution","Infinity","Imagineer","February 26, 1998","Unreleased","Unreleased",""
"G-Police","Psygnosis","Psygnosis","November 19, 1998","October 15, 1997","September 30, 1997",""
"G-Police: Weapons of Justice","Psygnosis","Psygnosis","Unreleased","September 3, 1999","August 31, 1999",""
"G1 Jockey","Koei","Koei","March 11, 1999","Unreleased","Unreleased",""
"G1 Jockey 2000","Koei","Koei","February 3, 2000","Unreleased","Unreleased",""
"Gaball Screen","System Sacom","Antinos Records","December 6, 1996","Unreleased","Unreleased",""
"Gadget: Past as Future","Synergy Inc.","Synergy Inc.","November 27, 1997","Unreleased","Unreleased",""
"Gaia Master","Nexus Interact","Capcom","April 13, 2000","Unreleased","Unreleased",""
"GaiaSeed: Project Seed Trap","Techno Soleil","Techno Soleil","December 13, 1996","Unreleased","Unreleased",""
"Gakkou Deatta Kowai Hanashi S","Pandora Box","Banpresto","July 19, 1996","Unreleased","Unreleased",""
"Gakkou no Kowai Uwasa: Hanako-san ga Kita!!","Capcom","Capcom","August 11, 1995","Unreleased","Unreleased",""
"Gakkou o Tsukurou!!","Refine Textile","Victor Interactive Software","December 18, 1997","Unreleased","Unreleased",""
"Gakkou o Tsukurou!! 2","Groove Box Japan","Victor Interactive Software","December 10, 1998","Unreleased","Unreleased",""
"Gakkou o Tsukurou!! Kouchou Sensei Monogatari","Groove Box Japan","Victor Interactive Software","October 26, 1998","Unreleased","Unreleased",""
"Gakuen Sentai Solblast","Caravan","Creative Heads","February 4, 1999","Unreleased","Unreleased",""
"Galaga: Destination Earth","King of the Jungle","Hasbro Interactive","Unreleased","September 23, 2000","October 22, 2000",""
"Galaxian3","High-Tech Lab Japan","Namco","April 26, 1996","April 26, 1996","Unreleased",""
"Galaxy Fight: Universal WarriorsJP•Galaxy FightPAL","Sunsoft","Sunsoft","May 3, 1996","April 30, 1996","Unreleased",""
"Gale Gunner","ASCII","ASCII","February 24, 2000","Unreleased","Unreleased",""
"Galeoz","Pre Stage","Atlus","December 20, 1996","Unreleased","Unreleased",""
"Galerians","Polygon Magic","ASCII EntertainmentJP, Crave EntertainmentPAL,NA","August 26, 1999","April 15, 2000","March 29, 2000",""
"Gallop Racer","Tecmo","Tecmo","September 27, 1996","Unreleased","Unreleased",""
"Gallop Racer 2: The One and Only Road to Victory","Tecmo","Tecmo","November 20, 1997","Unreleased","Unreleased",""
"Gallop Racer 3: The One and Only Road to VictoryJP•Gallop RacerNA","Tecmo","Tecmo","March 18, 1999","Unreleased","March 17, 1999",""
"Gallop Racer 2000","Tecmo","Tecmo","February 17, 2000","Unreleased","Unreleased",""
"Gambler Jiko Chuushinha: Ippatsu Shoubu!","Game Arts","ESP Software","June 22, 2000","Unreleased","Unreleased",""
"Game de Seishun","Kid","Kid","April 23, 1998","Unreleased","Unreleased",""
"Game de wa Jimeru TOEIC Test Mazuha Nyuumonhen1500","Graphic Research","Nagase Brothers","June 5, 2003","Unreleased","Unreleased",""
"The Game Maker: Ureure 100 Manpon Gettodaze!","Kuusou Kagaku","Axela","September 23, 1997","Unreleased","Unreleased",""
"Game Nihonshi: Kakumeiji Oda Nobunaga","Koei","Koei","April 11, 1997","Unreleased","Unreleased",""
"Game no Tatsujin","Affect","Sunsoft","June 9, 1995","Unreleased","Unreleased",""
"Game no Tatsujin 2","Chat Noir","Sunsoft","January 10, 1997","Unreleased","Unreleased",""
"Game no Tatsujin: The Shanghai","Activision","Sunsoft","October 13, 1995","Unreleased","Unreleased",""
"The Game of Life","The Collective","Hasbro Interactive","Unreleased","Unreleased","September 30, 1998",""
"Game Soft o Tsukurou","Imagineer","Imagineer","January 28, 1999","Unreleased","Unreleased",""
"Gamera 2000","Surveyor Corp","Virgin Interactive","April 25, 1997","Unreleased","Unreleased",""
"Ganba no Bouken: The Puzzle Action","Ooparts","Bandai","April 3, 2003","Unreleased","Unreleased",""
"Ganbare Goemon: Kuru Nara Koi! Ayashige Ikka no Kuroi Kage","Konami Computer Entertainment Nagoya","Konami","December 23, 1998","Unreleased","Unreleased",""
"Ganbare Goemon: Ōedo Daikaiten","Konami Computer Entertainment Kobe/Now Production","Konami","March 29, 2001","Unreleased","Unreleased",""
"Ganbare Goemon: Uchū Kaizoku Akogingu","Konami","Konami","March 22, 1996","Unreleased","Unreleased",""
"Gangway Monsters","SCEI","SCEI","October 15, 1998","Unreleased","Unreleased",""
"Ganso! Doubutsu Uranai / Renai Uranai Puzzle","Culture Brain","Culture Brain","June 30, 2001","Unreleased","Unreleased",""
"Ganso Family Mahjong","Nichibutsu","Nichibutsu","May 7, 1998","Unreleased","Unreleased",""
"Ganso Family Mahjong 2","Nichibutsu","Nichibutsu","June 3, 1999","Unreleased","Unreleased",""
"GateKeepers","Kadokawa","Kadokawa","December 16, 1999","Unreleased","Unreleased",""
"Gauntlet Legends","Midway Games","Midway Games","Unreleased","June 28, 2000","February 29, 2000",""
"Gear Senshi Dendoh","Natsume Co., Ltd.","Bandai","April 26, 2001","Unreleased","Unreleased",""
"Gegege no Kitarō: Gyakushuu! Youkai Daichisen","Konami","Konami","December 11, 2003","Unreleased","Unreleased",""
"Gegege no Kitarō: Noroi no Nikuto Katachi Tachi","Bandai","Bandai","January 24, 1997","Unreleased","Unreleased",""
"Gekido•Gekido: Urban FightersPAL","Naps Team","Infogrames","Unreleased","2000","May 18, 2000",""
"Gekioh: Shooting King","Warashi","Natsume Inc.","May 20, 1999","February 2004","December 17, 2002",""
"Gekiretsu Pachinkazu","Planning Office Wada","Planning Office Wada","February 21, 1997","Unreleased","Unreleased",""
"Gekisou TomaRunner","SCEI","SCEI","July 22, 1999","Unreleased","Unreleased",""
"Gekitotsu Toma L'Arc: Tomarunner vs L'Arc-en-Ciel","SCEI","SCEI","July 19, 2000","Unreleased","Unreleased",""
"Gekitou! Crush Gear Turbo","Bandai","Bandai","July 25, 2002","Unreleased","Unreleased",""
"Gekka Ni no Kishi: O Ryusen","Banpresto","Banpresto","September 13, 1996","Unreleased","Unreleased",""
"Genei Tougi: Shadow Struggle","Racdym","Banpresto","September 20, 1996","Unreleased","Unreleased",""
"Genghis Khan: Aoki Ookami to Shiroki Mejika IV","Koei","Koei","February 25, 1999","Unreleased","Unreleased",""
"Gensō Suikogaiden Vol. 1: Harmonia no Kenshi","KCET","Konami","September 21, 2000","Unreleased","Unreleased",""
"Gensō Suikogaiden Vol. 2: Crystal Valley no Kettou","Konami","Konami","March 22, 2001","Unreleased","Unreleased",""
"Gensou Maden Saiyuuki: Harukanaru Nishi e","J-Wing","J-Wing","December 26, 2002","Unreleased","Unreleased",""
"Gensou no Artemis: Actress School Mystery Adventure","Shoeisha","Shoeisha","January 27, 2000","Unreleased","Unreleased",""
"Geom Cube","Technos Japan","JP Technos Japan, NA Technos","December 22, 1994","Unreleased","December 10, 1995",""
"Geometry Duel","Takara","Takara","October 29, 1998","Unreleased","Unreleased",""
"Germs","KAJ","KAJ","July 22, 1999","Unreleased","Unreleased","[65]"
"GetBackers Dakkanya","Konami","Konami","July 26, 2001","Unreleased","Unreleased",""
"Getter Robo Daikessen!","TechnoSoft","Bandai","September 9, 1999","Unreleased","Unreleased",""
"Gex","Crystal Dynamics","Crystal Dynamics","March 8, 1996","April 1996","December 13, 1995",""
"Gex: Enter the Gecko•Gex 3D: Enter the GeckoUK•Gex 3D: Return of the GeckoPAL•SpinTailJP","Crystal Dynamics","Midway GamesNA,Crystal DynamicsPAL","Unreleased","January 1998","February 24, 1998",""
"Gex 3: Deep Cover Gecko•Gex: Deep Cover GeckoPAL","Eidos Interactive","Crystal Dynamics","Unreleased","April 1999","March 23, 1999",""
"Ghost in the Shell","Exact Co., Ltd.","THQNA, Sony Computer Entertainment","July 17, 1997","July 1998","November 1, 1997",""
"Ghoul Panic","Eighting/Raizing","NamcoJP, SCEEPAL","April 20, 2000","April 2000","Unreleased",""
"Ginga Eiyuu Densetsu","Microvision","Tokuma Shoten","May 28, 1998","Unreleased","Unreleased",""
"Ginga Ojousama Densetsu Yuna: Final Edition","Hudson","Hudson","June 25, 1998","Unreleased","Unreleased",""
"Gionbana","Nichibutsu","Nihon Bussan","December 15, 1995","Unreleased","Unreleased",""
"Gionbana 2","Nichibutsu","Nihon Bussan","February 4, 1999","Unreleased","Unreleased",""
"Glint Glitters","Konami","Konami","July 20, 1999","Unreleased","Unreleased",""
"Global Domination","Psygnosis","Psygnosis","Unreleased","1999","Unreleased",""
"Global Force: Shin Sentou Kokka","Marionette","SCEI","March 11, 1999","Unreleased","Unreleased",""
"Glocal Hexcite","Soliton","Locus","December 22, 1999","Unreleased","Unreleased",""
"Glover","Interactive Studios Ltd.","Hasbro Interactive (Under the Atari Interactive Label)","Unreleased","1999","September 19, 1999",""
"Goal Storm•World Soccer: Winning ElevenJP","Konami","Konami","March 15, 1996","January 15, 1996","December 22, 1995",""
"Goal Storm '97•International Superstar Soccer ProEU•World Soccer Winning Eleven '97JP","Konami","Konami","June 5, 1997","April 15, 1997","April 15, 1997",""
"Gochachiru","Pandora Box","Pandora Box","October 19, 2000","Unreleased","Unreleased",""
"Godzilla Trading Battle","Toho","Toho","December 3, 1998","Unreleased","Unreleased",""
"Goemon: Shin Sedai Shūmei!","Konami","Konami","December 20, 2001","Unreleased","Unreleased",""
"Go II Professional Taikyogu Igo","Mycom","Mycom","December 27, 1996","Unreleased","Unreleased",""
"Go-Jin Senki","Santa Entertainment","Tonkin House","August 6, 1998","Unreleased","Unreleased",""
"GoGo I-land","Kid","Kid","December 14, 2000","Unreleased","Unreleased",""
"Goiken Muyou II","Mediamuse","KSS","October 29, 1998","Unreleased","Unreleased",""
"Gokujou Parodius Da! Deluxe Pack•ParodiusPAL","KCET","Konami","December 3, 1994","March 15, 1996","Unreleased",""
"Gokuu Densetsu: Magic Beast Warriors","Allumer","Allumer","May 26, 1995","Unreleased","Unreleased",""
"Gold and Glory: The Road to El Dorado","Revolution Software","Ubisoft","Unreleased","Unreleased","December 20, 2000",""
"Golden Nugget","Hasbro Interactive","Virgin Interactive","Unreleased","Unreleased","October 21, 1997",""
"Goldie","Midas Interactive","Midas Interactive","Unreleased","September 1, 2000","Unreleased",""
"Goo! Goo! Soundy","Konami","Konami","September 22, 1999","Unreleased","Unreleased",""
"Goofy's Fun House•Dingo une Journée de DingueFR","The Code Monkeys","NewKidCo","Unreleased","December 7, 2001","July 2001",""
"Googootrops","Produce","Enix","January 28, 1999","Unreleased","Unreleased",""
"Goryujin + Electro","Produce","Enix","October 29, 1998","Unreleased","Unreleased",""
"Gotha II: Tenkuu no Kishi","Micronet co., Ltd.","Koei","July 12, 1996","Unreleased","Unreleased",""
"Gotouchi Hello Kitty Sugoroku Monogatari","Bandai","Bandai","June 19, 2003","Unreleased","Unreleased",""
"Gouketuji Ichizoku 2: Chottodake Saikyou Densetsu","Atlus","Atlus","October 20, 1995","Unreleased","Unreleased",""
"Gourmet Action Game: Manpuku!! Nabe Kazoku","Media Entertainment","Media Entertainment","January 31, 2002","Unreleased","Unreleased",""
"GP Challenge","Midas Interactive","Midas Interactive","Unreleased","April 12, 2002","Unreleased",""
"Gradius Deluxe Pack","KCET","Konami","March 29, 1996","Unreleased","Unreleased",""
"Gradius Gaiden","KCET","Konami","August 28, 1997","Unreleased","Unreleased",""
"Gran Turismo","Polyphony Digital","Sony Computer Entertainment","December 23, 1997","May 8, 1998","May 12, 1998",""
"Gran Turismo 2","Polyphony Digital","Sony Computer Entertainment","December 11, 1999","January 28, 2000","December 16, 1999",""
