"Title","Genre(s)","Developer(s)","Publisher(s)","Release date","","","Addons","Ref."
"Azito x Tatsunoko Legends","Real-time strategy","Hamster Corporation","Hamster Corporation","Jun 25, 2015","Unreleased","Unreleased","","[23]"
"Azkend 2: The World Beneath","Puzzle","10tons","10tons","Unreleased","May 3, 2016","May 6, 2016","",""
"Aztech: Forgotten Gods","Action-adventure","Lienzo","Lienzo","2022","2022","2022","",""
"Aztez","Beat 'em upstrategy","Team Colorblind","Team Colorblind","Unreleased","TBA","TBA","",""
"Babylon 2055 Pinball","Pinball","Shine Research","Plug In Digital","Unreleased","Apr 21, 2018","Apr 21, 2018","",""
"Back in 1995","Survival horror","Throw the Warped Code Out","Ratalaika Games","May 22, 2019","May 22, 2019","May 22, 2019","",""
"Back to the Future: The Game – 30th Anniversary Edition","Adventure","Telltale Games","Telltale Games","Unreleased","Oct 13, 2015","Oct 16, 2015","",""
"BackSlash","Platform arena brawler","Skeleton Crew Studios","Skeleton Crew Studios","Jun 21, 2019","Jun 21, 2019","Jun 21, 2019","",""
"Bad North","Real-time strategy","Plausible Concept","Raw Fury","Unreleased","Aug 28, 2018","Aug 28, 2018","X",""
"Badland: Game of the Year Edition","Platformer","Frogmind","Frogmind","Unreleased","May 29, 2015","May 29, 2015","",""
"Baila Latino","Musicrhythm","Oxygene Media","Oxygene Media","Unreleased","Aug 17, 2016","Aug 17, 2016","",""
"Baja: Edge of Control","Racing","2XL Games","THQ Nordic","Unreleased","Sep 13, 2017","Sep 13, 2017","",""
"Balan Wonderworld","Platform","Balan CompanyArzest","Square Enix","Mar 26, 2021","Mar 26, 2021","Mar 26, 2021","",""
"Baldo","Role-playing","NAPS team","NAPS team","Aug 27, 2021","Aug 27, 2021","Aug 27, 2021","",""
"Baldur's Gate: Dark Alliance","Action role-playing","Black Isle Studios","Interplay Entertainment","May 7, 2021","May 7, 2021","May 7, 2021","",""
"Baldur's Gate: Enhanced Edition","Role-playing","Beamdog","Skybound Games","Oct 15, 2019","Oct 15, 2019","Oct 15, 2019","",""
"Baldur's Gate II: Enhanced Edition","Role-playing","Beamdog","Skybound Games","Oct 15, 2019","Oct 15, 2019","Oct 15, 2019","",""
"The Banner Saga","Tactical role-playing","Stoic Studio","Versus Evil","Unreleased","Jan 12, 2016","Jan 12, 2016","",""
"The Banner Saga 2","Tactical role-playing","Stoic Studio","Versus Evil","Unreleased","Jul 1, 2016","Jul 1, 2016","",""
"The Banner Saga 3","Tactical role-playing","Stoic Studio","Versus Evil","Unreleased","Jul 24, 2018","Jul 24, 2018","",""
"Bard's Gold","Platformer","Pixel Lantern","Pixel Lantern","Unreleased","Jun 17, 2016","Jun 17, 2016","",""
"The Bard's Tale IV: Director's Cut","Role-playingdungeon crawler","InXile Entertainment","InXile Entertainment","Aug 27, 2019","Aug 27, 2019","Aug 27, 2019","PA",""
"The Bard's Tale Trilogy","Role-playingdungeon crawler","Krome Studios","InXile Entertainment","Aug 13, 2019","Aug 13, 2019","Aug 13, 2019","X",""
"Baron: Fur is Gonna Fly","Partyshooter","Dogmelon Games","Dogmelon Games","Unreleased","Mar 4, 2020","Mar 4, 2020","X",""
"Baseball Riot","Puzzle","10tons","10tons","Unreleased","Dec 9, 2015","Dec 9, 2015","",""
"Bastion","Role-playing","Supergiant Games","Warner Bros. Interactive Entertainment","Unreleased","Dec 12, 2016","Dec 12, 2016","",""
"Batman: Arkham Knight","Action-adventure","Rocksteady Studios","Warner Bros. Interactive Entertainment","Unreleased","Jun 23, 2015","Jun 23, 2015","",""
"Batman: Return to Arkham","Action-adventure","Rocksteady Studios","Warner Bros. Interactive Entertainment","Unreleased","Oct 17, 2016","Oct 17, 2016","",""
"Batman: The Enemy Within","Graphic adventure","Telltale Games","Telltale Games","Unreleased","Aug 8, 2017","Aug 8, 2017","",""
"Batman: The Telltale Series","Graphic adventure","Telltale Games","Telltale Games","Unreleased","Aug 2, 2016","Aug 2, 2016","",""
"Battleborn","Actionmultiplayer online battle arena","Gearbox Software","2K Games","Feb 9, 2016","May 3, 2016","May 3, 2016","",""
"Battlefield 1","First-person shooter","DICE","Electronic Arts","Oct 21, 2016","Oct 21, 2016","Oct 21, 2016","",""
"Battlefield 4","First-person shooter","EA Digital Illusions CE","Electronic Arts","Sep 4, 2014","Nov 22, 2013","Nov 22, 2013","",""
"Battlefield V","First-person shooter","EA DICE","Electronic Arts","Oct 19, 2018","Oct 19, 2018","Oct 19, 2018","X",""
"Battlefield Hardline","First-person shooter","Visceral Games","Electronic Arts","Mar 19, 2015","Mar 17, 2015","Mar 20, 2015","",""
"Battlerite","Multiplayer online battle arena","Stunlock Studios","Stunlock Studios","Unreleased","TBA","TBA","",""
"Battleship","Strategy","Frima Studios","Ubisoft","Unreleased","Aug 2, 2016","Aug 2, 2016","",""
"Battlestar Galactica: Deadlock","Strategy","Slitherine Games","Slitherine Games","Unreleased","Dec 8, 2017","Dec 8, 2017","",""
"Battletoads","Beat 'em up","RareDlala Studios","Xbox Game Studios","Unreleased","Aug 20, 2020","Aug 20, 2020","PA",""
"Battlezone: Gold Edition","Shooter","Rebellion","Rebellion","Unreleased","May 1, 2018","May 1, 2018","X",""
"Battle Chasers: Nightwar","Role-playing","Airship Syndicate","THQ Nordic","Unreleased","Oct 3, 2017","Oct 3, 2017","",""
"Battle Garegga Rev.2016","Arcadeshoot 'em up","M2","M2","Sep 29, 2017","Sep 29, 2017","Sep 29, 2017","",""
"Battle High 2 A+","Fighting","Mattrified Games","Mattrified Games","Unreleased","Dec 16, 2015","Dec 16, 2015","",""
"Battle Knights","Platformer","Mire Studios","Mire Studios","Unreleased","Jun 22, 2018","Jun 22, 2018","",""
"Battle of the Bulge","Strategy","Shenandoah Studio","Slitherine Software","Unreleased","Aug 25, 2017","Aug 25, 2017","",""
"Battle Princess Madelyn","Side-scrolling action","Causal Bit GamesHound Picked Games","Causal Bit Games","Dec 6, 2018","Dec 6, 2018","Dec 6, 2018","","[24]"
"Battle Worlds: Kronos","Turn-based strategy","King Art","Nordic Games","Unreleased","Apr 26, 2016","Apr 26, 2016","",""
"Bayonetta","Actionhack and slash","PlatinumGames","Sega","Unreleased","Feb 18, 2020","Feb 18, 2020","X",""
"Beach Buggy Racing","Racing","Vector Unit","Vector Unit","Unreleased","May 29, 2015","May 29, 2015","","[25]"
"Beacon","Roguelike","Monothetic","Monothetic","Unreleased","TBA","TBA","",""
"Bears Can't Drift!?","Kart racing","Strangely Named","Strangely Named","Mar 27, 2020","Mar 27, 2020","Mar 27, 2020","",""
"Bear With Me: The Complete Collection","Adventure","Exordium Games","Modus Games","Jul 30, 2019","Jul 31, 2019","Jul 30, 2019","",""
"Beast Quest","Action-adventure","Torus Games","Maximum Games","Unreleased","Mar 13, 2018","Mar 13, 2018","",""
"Beat Cop","Adventuresimulation","Crunching KoalasPixel Crow","11 Bit Studios","Mar 5, 2019","Mar 5, 2019","Mar 5, 2019","",""
"Beat the Game","Adventure","Worm Animation","Worm Animation","Unreleased","TBA","TBA","",""
"Beatbuddy: Tale of the Guardians","Action-adventureplatformer","Threaks","Threaks","Unreleased","Aug 7, 2015","Aug 7, 2015","",""
"Beatsplosion for Kinect","Family, Motion Controlled","Virtual Air Guitar Company","Virtual Air Guitar Company","Unreleased","Dec 30, 2015","Dec 30, 2015","K",""
"Bedlam","First-person shooter","RedBedlam","RedBedlam","Unreleased","Oct 16, 2015","Oct 16, 2015","","[11]"
"Bee Simulator","Family","Varsav Game Studios","Bigben Interactive","Nov 14, 2019","Nov 12, 2019","Nov 14, 2019","",""
"Before I Forget","Adventure","Plug In Digital","Plug In Digital","Apr 29, 2021","Apr 29, 2021","Apr 29, 2021","",""
"Beholder: Complete Edition","Adventurestrategy","Warm Lamp GamesAlawar Entertainment","Curve Digital","Unreleased","Feb 2, 2018","Feb 2, 2018","",""
"Beholder 2","Adventurestrategy","Warm Lamp GamesAlawar Entertainment","E-Home Entertainment","Apr 9, 2020","Apr 9, 2020","Apr 9, 2020","",""
"Below","Adventure","Capybara Games","Capybara Games","Dec 14, 2018","Dec 14, 2018","Dec 14, 2018","",""
"Ben 10","Action-adventure","Outright Games","Bandai Namco Entertainment","Unreleased","Nov 10, 2017","Nov 10, 2017","",""
"Bendy and the Ink Machine","Horror","Joey Drew Studios","Rooster Teeth Games","Unreleased","Nov 20, 2018","Nov 20, 2018","",""
"Beyond Contact","Survival","Playcorp Studios","Deep Silver","TBA","TBA","TBA","","[26]"
"Beyond Eyes","Adventure","Tiger & Squid","Team17","Unreleased","Aug 4, 2015","Aug 4, 2015","",""
"Beyond a Steel Sky","Adventure","Revolution Software","Microids","Nov 30, 2021","Nov 30, 2021","Nov 30, 2021","",""
"Big Buck Hunter Arcade","Arcade, Shooter","GameMill Entertainment","GameMill Entertainment","Unreleased","Oct 24, 2016","Oct 24, 2016","",""
"The Big Con","Adventure","Mighty Yell","Skybound Games","Aug 31, 2021","Aug 31, 2021","Aug 31, 2021","",""
"Big Crown: Showdown","Party","Hyper Luminal Games","Sold Out Sales & Marketing","Dec 14, 2018","Dec 14, 2018","Dec 14, 2018","X",""
"Big Rumble Boxing: Creed Champions","Sports","Survios","Survios","Unreleased","Sep 3, 2021","Sep 3, 2021","","[27]"
"Bike Mayhem 2","Racing","Goldmark Studios","Goldmark Studios","Unreleased","Feb 5, 2016","Feb 5, 2016","",""
"Big Pharma","Strategy, management","Twice CircledPositech Games","Klabater","Dec 4, 2019","Dec 4, 2019","Dec 4, 2019","",""
"Binaries","Platformerpuzzle","Ant Workshop","Ground Shatter","Unreleased","Aug 29, 2016","Aug 29, 2016","",""
"The Binding of Isaac: Rebirth","Action-adventuredungeon crawlroguelike","Nicalis","Nicalis","Unreleased","Jul 24, 2015","Dec 9, 2015","",""
"Biomutant","Action role-playing","Experiment 101","THQ Nordic","Unreleased","May 25, 2021","May 25, 2021","",""
"Bioshock: The Collection","First-person shooter","Blind Squirrel Games","2K Games","Sep 13, 2016","Sep 13, 2016","Sep 13, 2016","",""
"Biped","Puzzle platformer","NExT Studios","META Publishing","Unreleased","Sep 18, 2020","Sep 18, 2020","",""
"Bird Game +","Action","Bryan Tabor","Ratalaika Games","May 1, 2019","May 1, 2019","May 1, 2019","",""
"Birdcakes","Shoot 'em up","Green Lava Studios","Green Lava Studios","Unreleased","May 29, 2018","May 29, 2018","",""
"Bit Dungeon Plus","Roguelike role-playing","Dolores Entertainment","Dolores Entertainment","May 5, 2017","May 5, 2017","May 5, 2017","",""
"Bladed Fury","Side scroller, action","Next Studios","PM Studios","Unreleased","Jan 22, 2021","Jan 22, 2021","",""
"Black Book","Adventurerole-playing","Morteshka","HypeTrain Digital","Unreleased","Aug 10, 2021","Aug 10, 2021","",""
"Black Desert Online","Massively multiplayer online role-playing game","Pearl Abyss","Pearl Abyss","Unreleased","Mar 4, 2019","Mar 4, 2019","X",""
"Black Mirror","Horror Adventure","King Art Games","THQ Nordic","Unreleased","Nov 28, 2017","Nov 28, 2017","",""
"Black & White Bushido","Multiplayer fighting, Stealth","Good Catch","Good Catch","Unreleased","May 16, 2017","May 16, 2017","",""
"Black Paradox","Roguelite shoot 'em up","Fantastico Studio","Digerati","May 3, 2019","May 3, 2019","May 3, 2019","",""
"Black the Fall","Puzzle-platform","Sand Sailor Studio","Square Enix","Unreleased","Jul 11, 2017","Jul 11, 2017","",""
"Blackguards 2","Turn-based tactical role-playing","Daedalic Entertainment","Kalypso Media","Sep 12, 2017","Sep 12, 2017","Sep 12, 2017","",""
"Blackhole: Complete Edition","Puzzle, Platformer","FiolaSoft Studio","1C Company","Unreleased","Aug 8, 2017","Aug 8, 2017","",""
"The Blackout Club","Horror","Question","Question","Jul 30, 2019","Jul 30, 2019","Jul 30, 2019","",""
"Blacksad: Under the Skin","Adventure","Pendulo StudiosYs Interactive","Microïds","Nov 5, 2019","Nov 5, 2019","Nov 5, 2019","",""
"Blacksea Odyssey","Action, Adventure, Role-playing","Spiral Summit Games","Team Blacksea Odyssey","Unreleased","Aug 8, 2017","Aug 8, 2017","",""
"Blackwood Crossing","Adventure","PaperSeven","Vision Games Publishing","Unreleased","Apr 5, 2017","Apr 5, 2017","",""
"Bladestorm: Nightmare","Action-adventure","Koei Tecmo","Koei Tecmo","Jan 29, 2015","Mar 17, 2015","Mar 20, 2015","",""
"Blair Witch","Horror","Bloober Team","Bloober Team","Aug 30, 2019","Aug 30, 2019","Aug 30, 2019","X",""
"Blasphemous","Metroidvania hack & slash","The Game Kitchen","Team17","Unreleased","Sep 10, 2019","Sep 10, 2019","",""
"Blast 'Em Bunnies","Shooter","Nnooo","Nnooo","Unreleased","Mar 11, 2016","Mar 11, 2016","",""
"Blaster Master Zero","Platform","Inti Creates","Inti Creates","Jul 1, 2021","Jul 1, 2021","Jul 1, 2021","",""
"Blaster Master Zero 2","Platform","Inti Creates","Inti Creates","Jul 15, 2021","Jul 15, 2021","Jul 15, 2021","",""
"Blaster Master Zero 3","Platform","Inti Creates","Inti Creates","Jul 29, 2021","Jul 29, 2021","Jul 29, 2021","",""
"Blast Brawl 2","Action-adventurefightingplatformer","Mind's Eye Games","Mind's Eye Games","Unreleased","Oct 25, 2016","Oct 25, 2016","",""
"Blast Zone! Tournament","Arcadeparty","Victory Lap Games","Victory Lap Games","Jul 11, 2019","Jul 12, 2019","Jul 11, 2019","X",""
"BlazBlue Chrono Phantasma Extend","Fighting","Arc System Works","JP: Arc System WorksWW: Aksys Games","Apr 23, 2015","Jun 30, 2015","Oct 23, 2015","",""
"Blazing Chrome","Side-scrolling action","Joymasher","The Arcade Crew","Jul 11, 2019","Jul 11, 2019","Jul 11, 2019","",""
"Bleed","Platform","Bootdisk RevolutionNephilim Game Studios","Digerati","Unreleased","Aug 24, 2017","Aug 24, 2017","",""
"Bleed 2","Platform","Bootdisk RevolutionNephilim Game Studios","Digerati","Unreleased","Feb 9, 2018","Feb 9, 2018","",""
"Bleeding Edge","Brawler","Ninja Theory","Xbox Game Studios","Mar 24, 2020","Mar 24, 2020","Mar 24, 2020","",""
"Blind Men","Visual novel","Man-Eater Games","Ratalaika Games","Apr 15, 2020","Apr 15, 2020","Apr 15, 2020","",""
"Blood Bowl 2","Sportsreal-time strategyturn-based strategy","Cyanide","Focus Home Interactive","Unreleased","Sep 22, 2015","Sep 22, 2015","",""
"Blood Waves","Horde shooter","Light Road Games","Sometimes You","Mar 15, 2019","Mar 15, 2019","Mar 15, 2019","",""
"Bloodstained: Curse of the Moon","Side-Scrolling Action","Inti Creates","Inti Creates","Jun 6, 2018","Jun 6, 2018","Jun 6, 2018","",""
"Bloodstained: Curse of the Moon 2","Actionplatform","ArtPlayInti Creates","505 Games","Jul 10, 2020","Jul 10, 2020","Jul 10, 2020","",""
"Bloodstained: Ritual of the Night","Metroidvania","Inti Creates","505 Games","Jun 18, 2019","Jun 18, 2019","Jun 18, 2019","",""
"Bloody Zombies","Brawler","Paw Print Games","nDreams","Unreleased","Sep 21, 2017","Sep 21, 2017","",""
"Bloons TD 5","Strategypuzzle","Ninja Kiwi","Ninja Kiwi","Unreleased","Mar 2, 2017","Mar 2, 2017","",""
"Blue Angels: Aerobatic Flight Simulator","Simulation","Rortos","Rortos","Unreleased","Dec 1, 2017","Dec 1, 2017","",""
"Blue-Collar Astronaut","Action","Mutated Software","Mutated Software","Unreleased","Mar 17, 2017","Mar 17, 2017","",""
"Blue Estate","First-person shooterrail shootermotion-controlled","Hesaw","Focus Home Interactive","Unreleased","Feb 18, 2015","Feb 18, 2015","","[28]"
"Blue Fire","Shooter","Robi Studios","Graffiti Games","Unreleased","Jul 9, 2021","Jul 9, 2021","",""
"Blue Rider","Shooter","Ravegan","Ravegan","Unreleased","Oct 11, 2016","Oct 11, 2016","",""
"Blues and Bullets","Action-adventure","A Crowd of Monsters","A Crowd of Monsters","Unreleased","Aug 28, 2015","Aug 28, 2015","",""
"Boggle","Card & Board","Frima Studios","Ubisoft","Unreleased","Aug 4, 2015","Aug 4, 2015","",""
"Boiling Bolt","Shooter","Persistant Studio","Plug In Digital","Unreleased","Dec 5, 2017","Dec 5, 2017","",""
"Bokosuka Wars II","Strategy","Pygmy Studio","Pygmy Studio","Unreleased","Feb 24, 2017","Feb 24, 2017","",""
"Bomber Crew","Strategymanagement","Runner Duck Games","Curve Digital","Unreleased","Jul 10, 2018","Jul 10, 2018","X",""
"Bombfest","Puzzle","Sudden Event Studios","Whitethorn Digital","Jan 31, 2019","Jan 31, 2019","Jan 31, 2019","X",""
"Bombing Busters","Arcade, Classics","Sanuk Games","Sanuk Games","Unreleased","Nov 17, 2016","Nov 17, 2016","",""
"Bombslinger","Puzzle","Mode4","Plug In Digital","Unreleased","Apr 11, 2018","Apr 11, 2018","",""
"Bonds of the Skies","Role-playing","Hit Point","Kemco","Mar 1, 2019","Mar 1, 2019","Mar 1, 2019","PA",""
"Book of Demons","Action role-playinghack and slash","Thing Trunk","Thing Trunk","Apr 30, 2020","Apr 30, 2020","Apr 30, 2020","",""
"The Book of Unwritten Tales 2","Adventure","King Art","Nordic Games","Unreleased","Sep 18, 2015","Sep 18, 2015","",""
"Boom Ball for Kinect","Familymotion-controlled","Virtual Air Guitar Company","Virtual Air Guitar Company","Unreleased","Nov 28, 2014","Dec 5, 2014","K","[29]"
"Boom Ball for Kinect 2","Familymotion-controlled","Virtual Air Guitar Company","Virtual Air Guitar Company","Unreleased","Dec 21, 2016","Dec 21, 2016","K",""
"Boom Ball for Kinect 3","Familymotion-controlled","Virtual Air Guitar Company","Virtual Air Guitar Company","Unreleased","Dec 21, 2017","Dec 21, 2017","K",""
"Boomerang Fu","ActionFightingLocal Multiplayer","Cranky Watermelon","Cranky Watermelon","Aug 13, 2020","Aug 13, 2020","Aug 13, 2020","","[30]"
"Borderlands: Game of the Year Edition","First-person shooterloot shooter","Gearbox Software","2K Games","Apr 3, 2019","Apr 3, 2019","Apr 3, 2019","X",""
"Borderlands: The Handsome Collection","Action role-playingfirst-person shooter","Gearbox Software","2K Games","May 14, 2015","Mar 24, 2015","Mar 27, 2015","",""
"Borderlands 3","Action role-playingfirst-person shooter","Gearbox Software","2K Games","Sep 13, 2019","Sep 13, 2019","Sep 13, 2019","X",""
"Boss 101","Shoot 'em up Roguelite","Donley Time Foundation","Donley Time Foundation","May 18, 2018","May 18, 2018","May 18, 2018","",""
"Boulder Dash Deluxe","Puzzle","BBG Entertainment","BBG Entertainment","Sep 9, 2021","Sep 9, 2021","Sep 9, 2021","",""
"Bounce Rescue!","Platformerpuzzle","Bitecore","Bitecore","Unreleased","May 4, 2018","May 4, 2018","",""
"Bouncy Bullets","Platformshooter","Petite Games","Ratalaika Games","Unreleased","Jul 10, 2019","Jul 10, 2019","",""
"Bow to Blood: Last Captain Standing","Sci-fi combat flight sim","Tribetoy","Tribetoy","Unreleased","Apr 3, 2019","Apr 3, 2019","",""
"Boy and His Blob","Platform, puzzle","Abstraction Games","Majesco Entertainment","Unreleased","Jan 20, 2016","Jan 20, 2016","",""
"BPM: Bullets Per Minute","First-person shooter, roguelike","Awe Interactive","Awe Interactive","Unreleased","Oct 5, 2021","Oct 5, 2021","",""
"The Bradwell Conspiracy","Adventure","A Brave Plan","Bossa Studios","Oct 11, 2019","Oct 11, 2019","Oct 11, 2019","",""
"Braid Anniversary Edition","PuzzlePlatform","Number None","Number None","May 14, 2024","May 14, 2024","May 14, 2024","",""
"Bratz: Flaunt Your Fashion","Adventure","Petoons Studio","Outright Games","Nov 4, 2022","Nov 4, 2022","Nov 4, 2022","",""
"Braveland Trilogy","Strategy, tactics","Tortuga Team","Ellada Games","Apr 10, 2020","Apr 10, 2020","Apr 10, 2020","X",""
"Brawl Chess","Strategy","RedDeerGames","RedDeerGames","Unreleased","Nov 26, 2020","Nov 26, 2020","",""
"Breach & Clear: Deadline","Strategysimulation","Mighty Rabbit Studios","Mighty Rabbit Studios","Unreleased","Aug 3, 2016","Aug 3, 2016","",""
"Breakers Collection","Fighting","Visco Corporation","QUByte Interactive","Unreleased","Jan 23, 2023","Jan 23, 2023","",""
"Breakout: Recharged","Puzzle","Adamvision StudiosSneakyBox","Atari, Inc.","Unreleased","Feb 10, 2022","Feb 10, 2022","",""
"Brick Breaker","Puzzle","Sanuk Games","Bigben Interactive","Unreleased","Apr 26, 2016","Apr 26, 2016","",""
"The Bridge","Platforming","Quantum Astrophysicists Guild","Quantum Astrophysicists Guild","Aug 14, 2015","Aug 14, 2015","Aug 14, 2015","",""
"Bridge Constructor","Simulation","Clockstone Studio","Headup Games","Unreleased","Aug 21, 2015","Aug 21, 2015","",""
"Bridge Constructor Portal","Simulation","Clockstone Studio","Headup Games","Unreleased","Feb 28, 2018","Feb 28, 2018","",""
"Bridge Constructor Stunts","Simulation","Clockstone Studio","Headup Games","Unreleased","Dec 16, 2016","Dec 16, 2016","",""
"Bridge Constructor: The Walking Dead","Simulation","Clockstone Studio","Headup Games","Unreleased","Nov 19, 2020","Nov 19, 2020","",""
"Brief Battles","Party platform fighter","Juicy Cupcake","Juicy Cupcake","Unreleased","May 7, 2019","May 6, 2019","X",""
"Bring to Light","Horror","Red Meat Games","Red Meat Games","May 24, 2019","May 24, 2019","May 24, 2019","",""
"Broken Age: The Complete Adventure","Point-and-click adventure","Double Fine Productions","Double Fine Productions","Unreleased","Jun 23, 2017","Jun 23, 2017","",""
"Broken Sword 5: The Serpent's Curse","Point-and-click adventure","Revolution Software","Revolution Software","Unreleased","Sep 4, 2015","Sep 4, 2015","",""
"Brothers: A Tale of Two Sons","Action & Adventure","Starbreeze StudiosThe Workshop","505 Games","Unreleased","Aug 12, 2015","Aug 12, 2015","",""
"Brunswick Pro Bowling","Sports","FarSight Studios","Alliance Digital Media","Unreleased","Nov 27, 2015","Nov 27, 2015","",""
"Brutal Rage","Brawler, retro","2Bad Games","2Bad Games","Apr 22, 2020","Apr 22, 2020","Apr 22, 2020","","[31]"
"Bucket Knight","Side-scrolling action, retro","PigeonDev","Sometimes You","Feb 28, 2020","Feb 28, 2020","Feb 28, 2020","X",""
"Bud Spencer & Terence Hill: Slaps and Beans","Brawler","Trinity Team","Buddy Productions","Unreleased","Jul 24, 2018","Jul 24, 2018","",""
"Bug Butcher","Action","Awfully Nice Studios","Triangle Studios","Unreleased","Oct 18, 2016","Oct 18, 2016","",""
"Bulb Boy","Adventure, Horror","Bulbware","Bulbware","Unreleased","Oct 6, 2017","Oct 6, 2017","",""
"Bulletstorm: Full Clip Edition","Shooter","Electronic Arts","Gearbox Publishing","Apr 7, 2017","Apr 7, 2017","Apr 7, 2017","",""
"The Bunker","Point & Click Adventure","Splendy Games","Wales Interactive","Unreleased","Sep 22, 2016","Sep 22, 2016","",""
"Burnout Paradise Remastered","Racing","Stellar Entertainment","Electronic Arts","Mar 15, 2018","Mar 16, 2018","Mar 16, 2018","",""
"Bus Simulator 18","Simulation","Stillalive Studios","Astragon","Sep 16, 2019","Sep 17, 2019","Sep 16, 2019","",""
"Bus Simulator 21","Simulation","Stillalive Studios","Astragon","Sep 7, 2021","Sep 7, 2021","Sep 7, 2021","",""
"Bush Hockey League","Sports","V7 Entertainment","V7 Entertainment","Unreleased","Nov 29, 2017","Nov 29, 2017","",""
"Butcher","Shooter","Transhuman Design","Crunching Koalas","Unreleased","May 10, 2017","May 10, 2017","","[32]"
"Cake Bash","Partybeat 'em up","High Tea Frog","Coatsink","Oct 15, 2020","Oct 14, 2020","Oct 15, 2020","","[33]"
"Calico","Life simulation","Peachy Keen Games","Whitethorn Digital","Unreleased","Dec 15, 2020","Dec 15, 2020","","[34]"
"Call of Cthulhu: The Official Video Game","Adventuresurvival horror","Cyanide Studio","Focus Home Interactive","Unreleased","Oct 30, 2018","Oct 30, 2018","",""
"Call of Duty: Advanced Warfare","First-person shooter","Sledgehammer Games","Activision","Nov 13, 2014","Nov 4, 2014","Nov 4, 2014","",""
"Call of Duty: Black Ops III","First-person shooter","Treyarch","Activision","Nov 6, 2015","Nov 6, 2015","Nov 6, 2015","",""
"Call of Duty: Black Ops IIII","First-person shooter","Treyarch","Activision","Oct 12, 2018","Oct 12, 2018","Oct 12, 2018","X",""
"Call of Duty: Black Ops Cold War","First-person shooter","TreyarchRaven Software","Activision","Nov 13, 2020","Nov 13, 2020","Nov 13, 2020","",""
"Call of Duty: Ghosts","First-person shooter","Infinity Ward","JP: Square EnixWW: Activision","Sep 4, 2014","Nov 22, 2013","Nov 22, 2013","",""
"Call of Duty: Infinite Warfare","First-person shooter","Infinity Ward","Activision","Nov 4, 2016","Nov 4, 2016","Nov 4, 2016","X",""
"Call of Duty: Modern Warfare","First-person shooter","Infinity Ward","Activision","Oct 25, 2019","Oct 25, 2019","Oct 25, 2019","HDR  X",""
"Call of Duty: Modern Warfare II","First-person shooter","Infinity Ward","Activision","Oct 28, 2022","Oct 28, 2022","Oct 28, 2022","",""
"Call of Duty: Modern Warfare III","First-person shooter","Infinity Ward","Activision","Nov 10, 2023","Nov 10, 2023","Nov 10, 2023","",""
"Call of Duty: Modern Warfare Remastered","First-person shooter","Infinity Ward","Activision","Jul 27, 2017","Jul 27, 2017","Jul 27, 2017","",""
"Call of Duty: Vanguard","First-person shooter","Sledgehammer Games","Activision","Nov 5, 2021","Nov 5, 2021","Nov 5, 2021","",""
"Call of Duty: Warzone","First-person shooter","Infinity WardRaven Software","Activision","Mar 10, 2020","Mar 10, 2020","Mar 10, 2020","",""
"Call of Duty: WWII","First-person shooter","Sledgehammer GamesRaven Software","Activision","Nov 3, 2017","Nov 3, 2017","Nov 3, 2017","HDR  X",""
"Call of the Sea","Puzzle adventure","Out of the Blue","Raw Fury","Unreleased","Dec 8, 2020","Dec 8, 2020","",""
"Can't Drive This","Racing","Pixel Maniacs","Pixel Maniacs","Mar 19, 2021","Mar 19, 2021","Mar 19, 2021","",""
"Canadian Football 2017","Sports","Canuck Play","Canuck Play","Unreleased","Jul 25, 2017","Jul 25, 2017","",""
"Candleman","Platformer","Spotlightor Interactive","E-Home Entertainment","Feb 1, 2017","Feb 1, 2017","Feb 1, 2017","",""
"Candle: The Power of the Flame","Adventure-Platformer","Teku Studios","Merge Games","Unreleased","Jul 25, 2018","Jul 25, 2018","",""
"Cannon Brawl","Action, Strategy","Turtle Sandbox","Turtle Sandbox","Unreleased","Aug 3, 2016","Aug 3, 2016","",""
"Capcom Arcade Stadium","Arcade","Capcom","Capcom","May 25, 2021","May 25, 2021","May 25, 2021","",""
"Capcom Beat 'Em Up Bundle","Beat 'em up","Capcom","Capcom","Sep 20, 2018","Sep 18, 2018","Sep 18, 2018","",""
"Captain Cat","Arcade","Rendercode Games","Digital Tentacle","Jun 20, 2019","Jun 21, 2019","Jun 20, 2019","",""
"Cardpocalypse","Card battler, role-playing","Gambrinous","Versus Evil","Dec 12, 2019","Dec 12, 2019","Dec 12, 2019","X",""
"Caretaker","Horror","Baris Tarimcioglu","TensePulseGames","Oct 23, 2019","Oct 23, 2019","Oct 23, 2019","X",""
"Carmageddon: Max Damage","Vehicular combat, Racing","Stainless Games","Stainless Games","Unreleased","Jul 8, 2016","Jul 8, 2016","",""
"Car Mechanic Simulator 2018","Simulation","PlayWay","Red Dot Games","Jun 25, 2019","Jun 25, 2019","Jun 25, 2019","",""
"Carnival Games","Party game","Mass Media Games","2K Games","Nov 6, 2018","Nov 6, 2018","Nov 6, 2018","",""
"Carrion","Horror","Phobia Game Studio","Devolver Digital","Unreleased","Jul 23, 2020","Jul 23, 2020","",""
"Cars 3: Driven to Win","Racing","Avalanche Software","Warner Bros. Interactive Entertainment","Unreleased","Jun 13, 2017","Jun 13, 2017","",""
"Carto","AdventurePuzzle","Sunhead Games","Humble Games","Oct 27, 2020","Oct 27, 2020","Oct 27, 2020","",""
