"Title","Developer(s)","Publisher(s)","Release date","Ref."
"Apocryph: An Old-School Shooter","Bigzur Games","Bigzur Games","March 14, 2019","[470][471][473]"
"Apollo Justice: Ace Attorney Trilogy","Capcom","Capcom","2024","[731]"
"Apparition","MrCiastku","No Gravity Games","November 13, 2020","[732][733][734]"
"Apple Knight","Limitless","Limitless","September 9, 2021","[735][736][737][738]"
"Apple Slash","Agelvik","Ratalaika Games","July 30, 2021","[464][739][740]"
"Apsulov: End of Gods","Angry Demon Studios","Digerati Distribution","September 2, 2021","[741][742][743][744]"
"Aqua Kitty UDX","Tikipod","Tikipod","February 15, 2018","[745][746][747][748][749]"
"Aqua Lungers","WarpedCore Studio","WarpedCore Studio","May 21, 2020","[750][751][752]"
"Aqua Moto Racing Utopia","Zordix","Bigben Interactive","November 24, 2017",""
"The Aquatic Adventure of the Last Human","YCJY","Digerati","December 25, 2018","[753][754][755]"
"Aquatic Rampage","Game Nacional","Game Nacional","June 19, 2021","[756][757]"
"Ara Fell: Enhanced Edition","Stegosoft Games","Dangen Entertainment","March 26, 2020",""
"Aragami: Shadow Edition","Lince Works","Merge Games","February 21, 2019",""
"Arc of Alchemist","Compile Heart","Idea Factory","October 10, 2019","[758][759][760][761]"
"Arcade Classics Anniversary Collection","Konami","Konami","April 18, 2019","[762][763][764][765][766]"
"Arcade Fuzz","QuByte Interactive","QuByte Interactive","February 25, 2020","[767][768][769]"
"Arcade Love: Plus Pengo!","Triangle Service","Mebius","August 22, 2019","[770][771]"
"Arcade Paradise","Nosebleed Interactive","Wired Productions","August 11, 2022",""
"Arcade Space Shooter 2 in 1","Moraes Game Studio","QUByte Interactive","June 17, 2021","[772][773][774][775][776]"
"Arcade Spirits","Fiction Factory Games","PQube","May 1, 2020","[777][778][779][780]"
"Arcadian Atlas","Twin Otter Studios","Serenity Forge","November 30, 2023",""
"Arcaea","Lowiro","Lowiro","May 18, 2021","[781][782][783][784]"
"Arcane Arts Academy","QubicGames","QubicGames","June 4, 2021","[785][786][787]"
"Arcanoid Breakout","Pix Arts","Pix Arts","January 11, 2021","[788][789][790][791]"
"Archaica: The Path of Light","Drageus Games","Drageus Games","April 24, 2020","[792][793][794]"
"Archery Blast","Benoit Varasse","Pix Arts","April 17, 2021","[795][796][797][798]"
"Archery Club","BoomBit Games","BoomBit Games","October 29, 2021","[799][800][801]"
"Archetype Arcadia","Water Phoenix","Kemco","October 21, 2021","[802]"
"Archlion Saga","Hit Point","Kemco","July 18, 2019","[803][804][805][806][807]"
"Area 86","SimDevs","SimDevs","November 11, 2020","[808][809][810][811]"
"Arena of Valor","Tencent","Tencent","September 25, 2018",""
"Aria Chronicle","Studio N9","CREST","July 8, 2021","[812][813][814][815]"
"Arietta of Spirits","Third Spirits","JP: Rainy FrogWW: Red Art Games","August 20, 2021","[816][817][818][819]"
"Arise: A Simple Story","Piccolo Studio","Untold Tales, Techland","April 28, 2022",""
"Ark: Survival Evolved","Studio Wildcard","Studio Wildcard","November 30, 2018",""
"Arkan: The Dog Adventurer","Sometimes You","Sometimes You","June 30, 2021","[820][821][822][823]"
"Arkanoid - Eternal Battle","Pastagames","Microids","2022","[824]"
"Arkham Horror: Mother's Embrace","Fantasy Flight Games","Asmodee Digital","March 23, 2021","[825][826][827][828]"
"Armed 7 DX","Pixelheart","Storybird","May 14, 2020","[829][830][831]"
"Armed Emeth","Hit-Point","Kemco","September 2, 2021","[47][832][833][834]"
"Armello","League of Geeks","League of Geeks","September 27, 2018",""
"Arms","Nintendo EPD","Nintendo","June 16, 2017",""
"Ar Nosurge DX","Gust Co. Ltd.","Koei Tecmo","March 4, 2021",""
"Arrest of a Stone Buddha","Yeo","Circle Entertainment","May 21, 2020","[835][836][837][838]"
"Arrog","Leap Game Studios","indienova","November 26, 2020","[839][840][841][842]"
"Art of Balance","Shin'en Multimedia","Shin'en Multimedia","October 4, 2018",""
"Art of Rally","Funselektor Labs","Funselektor Labs","August 12, 2021","[843][844][845][846]"
"Art Sqool","Julian Glander","Red Deer Games","November 19, 2020","[847][848][849][850]"
"The Artful Escape","Beethoven & Dinosaur","Annapurna Interactive","January 25, 2022",""
"Artifact Adventure Gaiden DX","room6","room6","June 6, 2019","[851][852][853][854]"
"Ary and the Secret of Seasons","Exiin, Fishing Cactus","Modus Games","September 1, 2020",""
"Asatsugutori","Nippon Ichi Software","Nippon Ichi Software","November 25, 2021","[855]"
"Ascendance","Onevision Games","Onevision Games","May 9, 2019","[856][857][858]"
"Ascendant Hearts","Visualnoveler","Visualnoveler","January 30, 2020","[859][860][861]"
"Asdivine Cross","EXE-CREATE","Kemco","April 1, 2021","[862][863][864][865]"
"Asdivine Dios","Exe Create","Kemco","July 4, 2019","[688][866][867][868]"
"Asdivine Hearts","Exe Create","Kemco","April 12, 2018","[869][870][871][872]"
"Asdivine Hearts II","Exe Create","Kemco","January 17, 2019","[873][874][875][876]"
"Asdivine Kamura","Exe Create","Kemco","October 31, 2019","[877][878][879][880]"
"Asdivine Menace","Exe Create","Kemco","September 5, 2019","[881][882][883][884]"
"Asdivine Saga","EXE-CREATE","Kemco","September 30, 2021","[285][885][886][887]"
"Asemblance","Nilo Studios","Nilo Studios","January 23, 2020","[888] [889][890][891]"
"Ash of Gods: Redemption","Aurum Dust","Koch Media","January 31, 2020","[892][893][894][895]"
"Ashen","A44 Games","Annapurna Interactive","December 9, 2019",""
"ASMR Journey: Jigsaw Puzzle","Leonardo Zufi","QUByte Interactive","July 13, 2021","[896][897][898][899]"
"Asphalt Legends Unite[a]","Gameloft Barcelona","Gameloft","October 8, 2019",""
"Aspire: Ina's Tale","Wondernaut Studio","Untold Tales","December 17, 2021","[900][901]"
"Assassin's Creed III Remastered","Ubisoft Montreal","Ubisoft","May 21, 2019",""
"Assassin's Creed Odyssey","Ubisoft Quebec","Ubisoft","October 5, 2018",""
"Assassin's Creed: The Ezio Collection","Virtuos","Ubisoft","February 17, 2022",""
"Assassin's Creed: The Rebel Collection","Ubisoft Montreal","Ubisoft","December 6, 2019",""
"Assault Android Cactus+","Witch Beam","Witch Beam","March 7, 2019",""
"Assault ChaingunS KM","Regista","Dico","February 20, 2020","[902][903][904][905]"
"Assault Gunners HD Edition","Honey Parade Games","Marvelous Europe","July 5, 2018","[906][907][908][909]"
"Assault on Metaltron","Blue Sunset Games","Forever Entertainment","March 19, 2019","[910][911][912]"
"Astalon: Tears of the Earth","LABSworks","Dangen Entertainment","June 3, 2021","[913][914][915][916][917]"
"Astebreed","Edelweiss","Playism","November 8, 2018","[918][919][920][921][922]"
"Asterix & Obelix: Slap Them All!","Mr. Nutz Studio","Microids","November 25, 2021",""
"Asterix & Obelix XXL 2: Mission: Las Vegum","Osome Studio","Microids","November 29, 2018",""
"Asterix & Obelix XXL 3: The Crystal Menhir","Microids","Microids","November 21, 2019",""
"Asterix & Obelix XXL: Romastered","Osome Studio","Microids","October 22, 2020",""
"Astlibra Revision","Keizo","WhisperGames","November 16, 2023","[923]"
"Astral Chain","PlatinumGames","Nintendo","August 30, 2019",""
"Astria Ascending","Artisan Studios","Dear Villagers","September 30, 2021","[924][925][926][927][928][929]"
"Astro Aqua Kitty","Tikipod","Tikipod","April 8, 2021","[930]"
"Astro Bears Party","QubicGames","QubicGames","September 28, 2017","[931][932][933]"
"Astro Duel Deluxe","Panic Button","Panic Button","May 30, 2017",""
"Astrodogs","Dynamic Media Triad","Digital Tribe","TBA","[934]"
"Astrologaster","Plug In Digital","Plug In Digital","February 18, 2021","[935][936][937]"
"Astroneer","System Era Softworks","System Era Softworks","January 13, 2022",""
"AstroWings: Space War","Toward","Toward","October 8, 2020","[318][938][939][940]"
"At Sundown: Shots in the Dark","Mild Beast Games","Versus Evil","January 22, 2019","[941][942][943]"
"Atari 50: The Anniversary Celebration","Digital Eclipse","Atari","November 11, 2022","[944]"
"Atari Flashback Classics","Atari","Atari","December 13, 2018",""
"Atari Mania","iLLOGIKA","Atari","2022","[945]"
"Atelier Ayesha: The Alchemist of Dusk DX","Gust Co. Ltd.","Koei Tecmo","December 25, 2019",""
"Atelier Escha & Logy: Alchemists of the Dusk Sky DX","Gust Co. Ltd.","Koei Tecmo","December 25, 2019",""
"Atelier Firis: The Alchemist and the Mysterious Journey","Gust Co. Ltd.","Koei Tecmo","April 22, 2021",""
"Atelier Lulua: The Scion of Arland","Gust Co. Ltd.","Koei Tecmo","March 20, 2019",""
"Atelier Lydie & Suelle: The Alchemists and the Mysterious Paintings","Gust Co. Ltd.","Koei Tecmo","December 21, 2017",""
"Atelier Marie Remake: The Alchemist of Salburg","Gust Co. Ltd.","Koei Tecmo","July 13, 2023",""
"Atelier Meruru: The Apprentice of Arland","Gust Co. Ltd.","Koei Tecmo","September 20, 2018",""
"Atelier Rorona: The Alchemist of Arland","Gust Co. Ltd.","Koei Tecmo","September 20, 2018",""
"Atelier Ryza: Ever Darkness & the Secret Hideout","Gust Co. Ltd.","Koei Tecmo","September 26, 2019",""
"Atelier Ryza 2: Lost Legends & the Secret Fairy","Gust Co. Ltd.","Koei Tecmo","December 3, 2020",""
"Atelier Shallie: Alchemists of the Dusk Sea DX","Gust Co. Ltd.","Koei Tecmo","December 25, 2019",""
"Atelier Sophie: The Alchemist of the Mysterious Book DX","Gust Co. Ltd.","Koei Tecmo","April 22, 2021",""
"Atelier Sophie 2: The Alchemist of the Mysterious Dream","Gust Co. Ltd.","Koei Tecmo","February 24, 2022","[946]"
"Atelier Totori: The Adventurer of Arland DX","Gust Co. Ltd.","Koei Tecmo","December 4, 2018",""
"Atom RPG","Atom Team","Atent Games","September 4, 2020","[947][948][949][950]"
"Atomic Heist","Live Aliens","Drageus Games","September 13, 2019","[951][952][953]"
"Atomicrops","Bird Bath Games","JP: DMM GamesWW: Raw Fury","May 28, 2020","[954][955][956][957][958][959]"
"Atomik: RunGunJumpGun","Thirty Three Games","Gambitious","February 8, 2018","[960][961]"
"Atomine","Broken Arms Games","MixedBag","May 25, 2018","[962][963]"
"Attack of the Toy Tanks","Petite Games","Ratalaika Games","June 28, 2019","[700][701][964][965]"
"Attack on Titan 2","Omega Force","Koei Tecmo","March 15, 2018",""
"Attack on Titan 2: Final Battle","Omega Force","Koei Tecmo","July 4, 2019",""
"ATV Drift & Tricks","Anuman Interactive","Microids","November 22, 2018","[966][967][968]"
"Automachef","Hermes Interactive","Team17","July 23, 2019","[969][970][971][972][973]"
"Autumn's Journey","Apple Cider","Ratalaika Games","December 11, 2020","[974][975][976]"
"Avenger Bird","TiliaSoft","Ultimate Games","February 5, 2019","[977][978][979][980][981]"
"Aviary Attorney: Definitive Edition","Sketchy Logic","JP: LeofulWW: Vertical Reach","January 30, 2020","[982][983][984][985]"
"AVICII Invector","Hello There","JP: H2 InteractiveWW: Wired Productions","September 8, 2020",""
"AvoCuddle","Ramez Al Tabbaa","Ultimate Games","March 2, 2020","[986][987][988]"
"Awakening of Cthulhu","Kodobur Yazilim","Kodobur Yazilim","September 3, 2020","[989][990][991]"
"Away: Journey to the Unexpected","Aurelien Regard","JP: Circle EntertainmentWW: Playdius Entertainment","February 7, 2019","[169][992][993][994][995]"
"Awe","BadLand Publishing","BLG Publishing","December 20, 2018","[996][997][998]"
"Awesome Pea","Sometimes You","Sometimes You","March 1, 2019","[999][1000]"
"Awesome Pea 2","Sometimes You","Sometimes You","June 3, 2020","[1001][1002][1003]"
"Awkward","Snap Finger Click","Snap Finger Click","July 5, 2018","[1004][1005][1006]"
"Axe Champ!","Entity3","Entity3","August 7, 2021","[122][1007][1008]"
"Axes","Azur Games","Azur Games","October 30, 2020","[1009][1010][1011]"
"Axiom Verge","Thomas Happ Games","BadLand Games","October 5, 2017",""
"Axiom Verge 2","Thomas Happ Games","Thomas Happ Games","August 11, 2021",""
"AXS: Ace X Snowboard","Max Interactive Studio","Max Interactive Studio","March 12, 2021","[1012][1013][1014]"
"Ayakashi Koi Gikyoku: Forbidden Romance with Mysterious Spirit","OperaHouse Corporation","Digimerce","April 26, 2018","[1015][1016][1017][1018]"
"Ayakashi: Romance Reborn Dawn Chapter & Twilight Chapter","Voltage","Voltage","March 4, 2021","[1019][1020][1021][1022]"
"Ayo the Clown","Cloud M1","Cloud M1","July 28, 2021","[1023][1024][1025]"
"Azkend 2: The World Beneath","10tons","10tons","January 12, 2018",""
"Aztech: Forgotten Gods","Lienzo","Lienzo","March 10, 2022","[1026][1027][1028]"
"Azur Lane: Crosswave","Felistella","JP: Compile HeartWW: Idea Factory International","September 17, 2020",""
"Azuran Tales: Trials","Tiny Trinket Games","Tiny Trinket Games","June 24, 2019","[1029][1030][1031]"
"Azure Reflections","Unties","Unties","August 30, 2018","[1032][1033][1034][1035][1036][1037]"
"Azure Saga: Pathfinder Deluxe Edition","Toge Productions","Toge Productions","March 21, 2019","[1038][1039][1040]"
"Azure Striker Gunvolt: Striker Pack","Inti Creates","Inti Creates","August 31, 2017",""
"Azure Striker Gunvolt 3","Inti Creates","Inti Creates","July 28, 2022","[1041]"
"Azurebreak Heroes","Piotr Powroziewicz","Silesia Games","November 19, 2020","[1042][1043][1044]"
