"Title","Developer","Publisher","First released","JP","EU / PAL","NA"
"Naval Ops: Warship Gunner•Kurogane no Houkou 2: Warship GunnerJP","Microcabin","Koei","2003-03-04JP","✔","✔","✔"
"Naxat Soft Reachmania Vol. 1: CR Galaxy Angel","Naxat Soft","Naxat Soft","2008-11-27JP","✔","",""
"NBA 06","San Diego Studio","Sony Computer Entertainment","2005-11-01NA","","","✔"
"NBA 07","A.C.R.O.N.Y.M. Games","Sony Computer Entertainment","2006-09-25NA","","","✔"
"NBA 08","A.C.R.O.N.Y.M. Games","Sony Computer Entertainment","2007-09-26NA","","✔AU","✔"
"NBA 09: The Inside","A.C.R.O.N.Y.M. Games","Sony Computer Entertainment","2008-10-07NA","","","✔"
"NBA 2K10","Visual Concepts","2K Sports","2009-10-06NA","","✔","✔"
"NBA 2K11","Visual Concepts","2K Sports","2010-10-05NA","","✔","✔"
"NBA 2K12","Visual Concepts","2K Sports","2011-10-04NA","","✔","✔"
"NBA 2K2•Sega Sports NBA 2K2JP","Visual Concepts","Sega","2002-01-12NA","✔","","✔"
"NBA 2K3","Visual Concepts","Sega","2002-10-08NA","✔","","✔"
"NBA 2K6","Visual Concepts","2K Sports","2005-09-26NA","","✔","✔"
"NBA 2K7","Visual Concepts","2K Sports","2006-09-25NA","","✔","✔"
"NBA 2K8","Visual Concepts","2K Sports","2007-10-02NA","","✔","✔"
"NBA 2K9","Visual Concepts","2K SportsNA, PAL, SpikeJP","2008-10-07NA","✔","✔","✔"
"NBA Ballers","Midway Games","Midway Games","2004-04-05NA","","✔","✔"
"NBA Ballers: Phenom","Midway Games","Midway Games","2006-04-05NA","","","✔"
"NBA Hoopz","Eurocom","Midway Games","2001-02-26NA","","✔","✔"
"NBA Jam","Acclaim Entertainment","Acclaim Entertainment","2003-09-23NA","","✔","✔"
"NBA Live 06","EA Canada","EA Sports","2005-09-26NA","✔","✔","✔"
"NBA Live 07","EA Canada","EA Sports","2006-09-25NA","✔","✔","✔"
"NBA Live 08","HB Studios","EA Sports","2007-10-01NA","✔","✔","✔"
"NBA Live 09","HB Studios","EA Sports","2008-10-07NA","✔","✔","✔"
"NBA Live 2001","EA Canada","EA Sports","2001-01-22NA","✔","✔","✔"
"NBA Live 2002","EA Canada","EA Sports","2001-10-29NA","✔","✔","✔"
"NBA Live 2003","EA Canada","EA Sports","2002-10-08NA","✔","✔","✔"
"NBA Live 2004","EA Canada","EA Sports","2003-10-14NA","✔","✔","✔"
"NBA Live 2005","EA Canada","EA Sports","2004-09-28NA","✔","✔","✔"
"NBA Shootout 2001","989 Sports","Sony Computer Entertainment","2001-02-19NA","","","✔"
"NBA Shootout 2003","989 Sports","Sony Computer Entertainment","2002-09-25NA","","","✔"
"NBA Shootout 2004","989 Sports","Sony Computer Entertainment","2003-10-29NA","","","✔"
"NBA Starting Five","Konami","Konami","2002-10-27NA","✔","","✔"
"NBA Starting Five 2005","Konami","Konami","2004-11-11JP","✔","",""
"NBA Street","NuFX","EA Sports BIG","2001-06-18NA","✔","✔","✔"
"NBA Street V3","EA Canada","EA Sports BIG","2005-02-08NA","✔","✔","✔"
"NBA Street Vol. 2","EA Canada","EA Sports BIG","2003-04-28NA","✔","✔","✔"
"NCAA Basketball 09","EA Canada","Electronic Arts","2008-11-17NA","","","✔"
"NCAA College Basketball 2K3","Kush Games","Sega","2002-12-02NA","","","✔"
"NCAA College Football 2K3","Avalanche Software","Sega","2002-08-07NA","","","✔"
"NCAA Final Four 2001","989 Sports","Sony Computer Entertainment","2000-12-18NA","","","✔"
"NCAA Final Four 2002","989 Sports","Sony Computer Entertainment","2001-11-12NA","","","✔"
"NCAA Final Four 2003","989 Sports","Sony Computer Entertainment","2002-11-27NA","","","✔"
"NCAA Final Four 2004","989 Sports","Sony Computer Entertainment","2003-11-11NA","","","✔"
"NCAA Football 06","EA Tiburon","Electronic Arts","2005-07-11NA","","","✔"
"NCAA Football 07","EA Tiburon","Electronic Arts","2006-07-18NA","","","✔"
"NCAA Football 08","EA Tiburon","Electronic Arts","2007-07-17NA","","","✔"
"NCAA Football 09","EA Tiburon","Electronic Arts","2008-07-15NA","","","✔"
"NCAA Football 10","EA Tiburon","Electronic Arts","2009-07-14NA","","","✔"
"NCAA Football 11","EA Tiburon","Electronic Arts","2010-07-13NA","","","✔"
"NCAA Football 2002","EA Tiburon","EA Sports","2001-07-23NA","","","✔"
"NCAA Football 2003","EA Tiburon","EA Sports","2002-07-20NA","","","✔"
"NCAA Football 2004","EA Tiburon","EA Sports","2003-07-16NA","","","✔"
"NCAA Football 2005","EA Tiburon","Electronic Arts","2004-07-15NA","","","✔"
"NCAA Gamebreaker 2001","989 Sports","Sony Computer Entertainment","2000-12-18NA","","","✔"
"NCAA Gamebreaker 2003","989 Sports","Sony Computer Entertainment","2002-08-14NA","","","✔"
"NCAA Gamebreaker 2004","989 Sports","Sony Computer Entertainment","2003-08-27NA","","","✔"
"NCAA March Madness 06","EA Canada","EA Sports","2005-10-11NA","","","✔"
"NCAA March Madness 07","EA Canada","EA Sports","2007-01-17NA","","","✔"
"NCAA March Madness 08","EA Canada","EA Sports","2007-12-11NA","","","✔"
"NCAA March Madness 2002","NuFX","EA Sports","2002-01-07NA","","","✔"
"NCAA March Madness 2003","NuFX","EA Sports","2002-11-21NA","","","✔"
"NCAA March Madness 2004","NuFX","EA Sports","2003-11-17NA","","","✔"
"NCAA March Madness 2005","EA Canada","EA Sports","2004-11-17NA","","","✔"
"Need for Speed: Carbon","EA Canada","Electronic Arts","2006-10-31NA","✔JP, KO","✔","✔"
"Need For Speed: Hot Pursuit 2","EA Black Box","EA Games","2002-10-02NA","","✔","✔"
"Need for Speed: Most Wanted","EA Canada","Electronic Arts","2005-11-15NA","✔JP, KO","✔","✔"
"Need for Speed: ProStreet","EA Black Box","Electronic Arts","2007-11-13NA","✔","✔","✔"
"Need for Speed: Undercover","Exient Entertainment","Electronic Arts","2008-11-17NA","✔","✔","✔"
"Need for Speed: Underground","EA Black Box","Electronic Arts","2003-11-17NA","✔","✔","✔"
"Need for Speed: Underground 2","EA Black Box","Electronic Arts","2004-11-15NA","✔","✔","✔"
"Negima!? 3-Jikanme ~Koi to Mahou to Sekaiju Densetsu~","Konami","Konami","2006-11-16JP","✔","",""
"Negima!? Dream Tactic Yumemiru Otome Princess","Konami","Konami","2007-04-26JP","✔","",""
"The Neko-Mura no Ninnin Pagu Daikan no Akugyou Sanmai•Simple 2000 Series Vol. 116: The Neko-Mura no Ninnin – Pagu Daikan no Akugyou SanmaiJP","Vingt-et-un Systems","D3 Publisher","2007-04-12JP","✔","",""
"Neo Angelique","Koei","Koei","2006-03-04JP","✔","",""
"Neo Angelique Full Voice","Koei","Koei","2008-03-27JP","✔","",""
"Neo Atlus III","Artdink","Artdink","2000-12-14JP","✔","",""
"Neo Contra","Konami","Konami","2004-10-19NA","✔JP, KO","✔","✔"
"NeoGeo Battle Coliseum","SNK Playmore","SNK PlaymoreAU, JP, NA, Ignition EntertainmentEU","2005-12-22JP","✔","✔","✔"
"Neopets: The Darkest Faerie","Idol Minds","Sony Computer Entertainment","2005-11-16NA","","","✔"
"Neppachi Gold: CR Monster Mansion","Daikoku Denki","Daikoku Denki","2002-08-22JP","✔","",""
"Net de Bomberman","Hudson Soft","Hudson Soft","2004-02-19JP","✔","",""
"Netsu Chu! Pro Yakyū 2002","Namco","Namco","2002-04-18JP","✔","",""
"Netsu Chu! Pro Yakyū 2003","Namco","Namco","2003-04-03JP","✔","",""
"Netsu Chu! Pro Yakyū 2003: Aki no Night Matsuri","Namco","Namco","2003-10-23JP","✔","",""
"Netsu Chu! Pro Yakyū 2004","Namco","Namco","2004-03-25JP","✔","",""
"Nettai Teikiatsu Shoujo","NIne'sFox","NIne'sFox","2007-10-25JP","✔","",""
"Never7: The End of Infinity","KID","KID","2003-06-26JP","✔","",""
"Neverland Kenkyūfu","Neverland","Idea Factory","2006-10-12JP","✔","",""
"New Jinsei Game","Atlus","Takara","2004-12-02JP","✔","",""
"New Roommania: Porori Seishun","Sega","Sega","2003-03-20JP","✔","",""
"New York Race","Kalisto Entertainment","Wanadoo Edition","2001-11-23EU","","✔",""
"Next Generation Tennis•Roland Garros French Open 2002FR","Wanadoo Edition","Wanadoo Edition","2002-05-28FR","","✔",""
"Next Generation Tennis 2003•Roland Garros 2003 French OpenFR","Wanadoo Edition","Wanadoo Edition","2003-05-21FR","","✔",""
"NFL Blitz 20-02","Midway Games","Midway Games","2002-02-06NA","","","✔"
"NFL Blitz 20-03","Midway Games","Midway Games","2002-08-12NA","","","✔"
"NFL 2K2•Sega Sports NFL 2K2JP","Visual Concepts","Sega","2001-11-19NA","✔","","✔"
"NFL 2K3","Visual Concepts","Sega","2002-08-12NA","✔","✔","✔"
"NFL Blitz Pro","Midway Games","Midway Games","2003-10-28NA","","","✔"
"NFL GameDay 2001","989 Studios","Sony Computer Entertainment","2000-11-13NA","","","✔"
"NFL GameDay 2002","989 Studios","Sony Computer Entertainment","2001-12-03NA","","","✔"
"NFL GameDay 2003","989 Studios","Sony Computer Entertainment","2002-08-12NA","","","✔"
"NFL GameDay 2004","989 Studios","Sony Computer Entertainment","2003-08-27NA","","","✔"
"NFL Head Coach","EA Tiburon","EA Sports","2006-06-20NA","","","✔"
"NFL QB Club 2002","Acclaim Studios Austin","Acclaim Entertainment","2001-09-05NA","","✔","✔"
"NFL Street","EA Tiburon","EA Sports","2004-01-13NA","","✔","✔"
"NFL Street 2","EA Tiburon","EA Sports","2004-12-22NA","","✔","✔"
"NFL Street 3","EA Tiburon","EA Sports","2006-11-14NA","","✔","✔"
"NHL 06","EA Canada","EA Sports","2005-09-06NA","✔","✔","✔"
"NHL 07","EA Montreal","EA Sports","2006-09-12NA","","✔","✔"
"NHL 08","HB Studios","EA Sports","2007-09-11NA","","✔","✔"
"NHL 09","HB Studios","EA Sports","2008-11-04NA","","✔","✔"
"NHL 2001","EA Canada","EA Sports","2000-10-25NA","","✔","✔"
"NHL 2002","EA Canada","EA Sports","2001-09-24NA","✔","✔","✔"
"NHL 2003","EA Canada","EA Sports","2002-09-30NA","","✔","✔"
"NHL 2004","EA Canada","EA Sports","2003-09-22NA","","✔","✔"
"NHL 2005","EA Canada","EA Sports","2004-09-20NA","","✔","✔"
"NHL 2K10","Take-Two Interactive","2K Sports","2009-09-15NA","","","✔"
"NHL 2K3","Treyarch","Sega","2002-11-10NA","","✔","✔"
"NHL 2K6","Kush Games","2K Sports","2005-09-07NA","","✔","✔"
"NHL 2K7","Kush Games","2K Sports","2006-10-02NA","","✔","✔"
"NHL 2K8","Kush Games","2K Sports","2007-09-10NA","","✔","✔"
"NHL 2K9","Take-Two Interactive","2K SportsEU, NA, SpikeJP","2008-09-08NA","✔","✔","✔"
"NHL FaceOff 2001","989 Sports","Sony Computer Entertainment","2001-02-05NA","","","✔"
"NHL FaceOff 2003","989 Sports","Sony Computer Entertainment","2002-11-05NA","","","✔"
"NHL Hitz 20-02","Black Box Games","Midway Games","2001-09-24NA","","✔","✔"
"NHL Hitz 20-03","Black Box Games","Midway Games","2002-09-16NA","","✔","✔"
"NHL Hitz Pro","Next Level Games","Midway Games","2003-09-25NA","","✔","✔"
"NHRA Championship Drag Racing","Lucky Chicken","ValuSoft","2005-09-14NA","","","✔"
"NHRA Drag Racing: Countdown to the Championship 2007","Pipeworks Studios","THQ","2007-07-24NA","","","✔"
"Ni Hao, Kai-Lan: Super Game Day","Take-Two Interactive","Take-Two Interactive","2009-10-26NA","","","✔"
"Nichibeikan Pro Yakyū: Final League","SquareSoft","SquareSoft","2002-04-25JP","✔","",""
"Nicktoons: Attack of the Toybots","Blue Tongue Entertainment","THQ","2007-10-23NA","","✔","✔"
"Nicktoons: Battle for Volcano Island•SpongeBob and Friends: Battle for Volcano IslandPAL","Blue Tongue Entertainment","THQ","2006-10-24NA","","✔","✔"
"Nicktoons Movin'•SpongeBob SquarePants Movin' with FriendsEU","Mass Media Games","THQ","2004-10-21NA","","✔","✔"
"Nicktoons Unite!•SpongeBob SquarePants & Friends: Unite!EU","Blue Tongue Entertainment","THQ","2005-10-26NA","","✔","✔"
"Night Wizard the Video Game: Denial of the World","5pb","5pb","2008-02-28JP","✔","",""
"The Nightmare of Druaga: Fushigino Dungeon•The Nightmare of Druaga: Fushigi no DungeonJP","Arika","ArikaJP, NamcoNA","2004-07-29JP","✔","","✔"
"Nights into Dreams","Sonic Team","Sega","2008-02-21JP","✔","",""
"Nightshade•KunoichiAS, JP, KO","Wow Entertainment","Sega","2003-12-02AS","✔AS, JP, KO","✔","✔"
"Nihon Sumo Kyokai Kounin: Nihon Oozumou Gekitou Honbashohen","Konami","Konami","2002-07-11JP","✔","",""
"Ninja Assault","Namco","Namco","2002-09-12JP","✔","✔","✔"
"Ninjabread Man","Data Design Interactive","Metro3D","2005-10-14EU","","✔",""
"Ninkyouden: Toseinin Ichidaiki","Genki","Genki","2006-03-02JP","✔","",""
"Nippon Oozumou Kakutouhen","Konami","Konami","2001-11-15JP","✔","",""
"Nishikaze no Kyoushikyouku: The Rhapsody of Zephyr","SoftMax","Marvelous Entertainment","2004-01-29JP","✔","",""
"Nitrobike","Left Field Productions","Ubisoft","2008-10-14NA","","✔","✔"
"Noble Racing","Midas Interactive Entertainment","Midas Interactive Entertainment","2006-03-10EU","","✔",""
"Nobunaga no Yabou Online","Koei","Koei","2003-06-12JP","✔","",""
"Nobunaga no Yabou Online: Haten no Shou (Expansion)","Koei","[Koei","2006-12-13JP","✔","",""
"Nobunaga no Yabou Online: Souha no Shou (Expansion)","Koei","Koei","2008-03-26JP","✔","",""
"Nobunaga no Yabou Online: Tappi no Shou (Expansion)","Koei","Koei","2004-12-15JP","✔","",""
"Nobunaga no Yabou: Ranseiki•Nobunaga no Yabou: Ranseiki with Power-Up KitJP","Koei","Koei","2002-04-04JP","✔","",""
"Nobunaga no Yabou: Soutenroku•Nobunaga no Yabou: Soutenroku with Power-Up KitJP","Koei","Koei","2003-01-30JP","✔","",""
"Nobunaga Senki","Global A","Global A","2004-06-03JP","✔","",""
"Nobunaga's Ambition: Iron Triangle•Nobunaga no Yabou: KakushinJP•Nobunaga no Yabou: Kakushin with Power-Up KitJP","Koei","Koei","2006-02-02JP","✔","","✔"
"Nobunaga's Ambition: Rise to Power•Nobunaga no Yabou: Tenka SouseiJP•Nobunaga no Yabou: Tenka Sousei with Power-Up KitJP","Koei","Koei","2004-04-01JP","✔","","✔"
"Nodame Cantabile","Banpresto","Banpresto","2007-07-19JP","✔","",""
"Noddy and the Magic Book","Neko Entertainment","The Game Factory","2006-10-13EU","","✔",""
"Nogizaka Haruka no Himitsu Cosplay, Hajime Mashita","ASCII Media Works","ASCII Media Works","2008-09-25JP","✔","",""
"The Noroi no Game•Simple 2000 Series Vol. 92: The Noroi no GameJP","HuneX","D3 Publisher","2005-12-08JP","✔","",""
"North Wind: Eien no Yakusoku","Datam Polystar","Datam Polystar","2005-04-28JP","✔","",""
"NPPL Championship Paintball 2009•The Millenium European Paintball Series: Championship Paintball 2009PAL","Sand Grain Studios","Activision","2008-11-18NA","","✔","✔"
"NRA Gun Club","Crave Entertainment","Crave Entertainment","2006-10-02NA","","","✔"
"Nuga-Cel!","Lupinus","Idea Factory","2009-07-30JP","✔","",""
"Nurse Witch Komugi-Chan Magical te","KID","KID","2004-02-26JP","✔","",""
"Obliterate","Phoenix Games","Phoenix Games","2006-04-21AU","","✔",""
"ObsCure","Hydravision Entertainment","MicroïdsEU, DreamCatcher InteractiveNA","2004-10-01EU","","✔","✔"
"Obscure: The Aftermath•Obscure IIPAL","Hydravision Entertainment","Playlogic EntertainmentPAL, Ignition EntertainmentNA","2007-09-07EU","","✔","✔"
"Ocean Commander","CyberPlanet Interactive","Phoenix Games","2007EU","","✔",""
"The Ochimusha – Doemu Samurai Toujou•Simple 2000 Series Vol. 118: The Ochimusha – Doemu Samurai ToujouJP","Tamsoft","D3 Publisher","2007-05-31JP","✔","",""
"Odin Sphere","Vanillaware","AtlusJP, KO, NA, Square EnixPAL","2007-05-17JP","✔JP, KO","✔","✔"
"Oekaki Puzzle•SuperLite 2000 Puzzle: Oekaki PuzzleJP","Success","Success","2003-09-11JP","✔","",""
"Offroad Extreme!","Phoenix Games","Phoenix Games","2007EU","","✔",""
"Ojousama Kumikyoku: Sweet Concert","Pionesoft","Pionesoft","2007-04-26JP","✔","",""
"Okage: Shadow King•Boku to MaouJP","Zener Works, Sony Computer Entertainment","Sony Computer Entertainment","2001-03-15JP","✔","","✔"
"Ōkami","Clover Studio","Capcom","2006-04-20JP","✔JP, KO","✔","✔"
"Ōokuki","Global A","Global A","2008-06-05JP","✔","",""
"Omoi no Kakera: Close to","KID","KID","2003-07-24JP","✔","",""
"Omoide ni Kawaru-Kimi: Memories Off","KID","KID","2002-11-28JP","✔","",""
"One Piece Grand Adventure","Ganbarion","Namco Bandai Games","2006-08-29NA","✔KO","✔","✔"
"One Piece Grand Battle!•One Piece Grand Battle! RushJP","Ganbarion","Bandai","2005-03-17JP","✔","✔","✔"
"One Piece Grand Battle! 3","Ganbarion","Bandai","2003-12-11JP","✔","",""
"One Piece: Pirates' Carnival","h.a.n.d.","Bandai","2005-11-23JP","✔","","✔"
"One Piece: Round the Land•One Piece Land LandJP","Artdink","Bandai","2005-11-23JP","✔","✔",""
"The Onēchanbara 2•Simple 2000 Series Vol. 90: The Onēchanbara 2JP","Tamsoft","D3 Publisher","2005-12-22JP","✔","",""
"Oni","Bungie","Rockstar Games","2001-01-29NA","","✔","✔"
"Onimusha 2: Samurai's Destiny•Onimusha 2JP, KO","Capcom","Capcom","2002-03-07JP","✔JP, KO","✔","✔"
"Onimusha 3: Demon Siege•Onimusha 3EU, JP, KO","Capcom","Capcom","2004-02-26JP","✔JP, KO","✔","✔"
"Onimusha Blade Warriors•Onimusha BuraidenJP","Capcom","Capcom","2003-11-27JP","✔","✔","✔"
"Onimusha: Dawn of Dreams•Shin Onimusha: Dawn of DreamsJP, KO","Capcom Production Studio 2","Capcom","2006-01-26JP","✔JP, KO","✔","✔"
"Onimusha: Warlords•OnimushaJP","Capcom","Capcom","2001-01-25JP","✔","✔","✔"
"Online Pro Wrestling","Yuke's","Yuke's","2004-05-06JP","✔","",""
"Only You","AliceSoft","GeneX","2002-10-31JP","✔","",""
"Onmyou Taisenki: Byakko Enbu","Matrix Software","Bandai","2005-03-31JP","✔","",""
"Onmyou Taisenki: Hasha no In","Matrix Software","Bandai","2005-06-23JP","✔","",""
"The Onna Okappichi Torimonochou – Oharuchan Go Go Go!•Simple 2000 Series Vol. 114: The Onna Okappichi Torimonochou – Oharuchan Go Go Go!JP","Tamsoft","D3 Publisher","2007-02-22JP","✔","",""
"Open Season","Ubisoft","Ubisoft","2006-09-19NA","","✔","✔"
"Operation Air Assault","InterActive Vision Games","Midas Interactive Entertainment","2005-02-25EU","","✔",""
"Operation Air Assault 2","Naps Team","Midas Interactive Entertainment","2007-06-08EU","","✔",""
"The Operative: No One Lives Forever","Monolith Productions","Sierra Entertainment","2002-04-16NA","","✔","✔"
"Orange Honey: Boku wa Kimi ni Koishiteru","guyzware","Marvelous Entertainment","2007-04-26JP","✔","",""
"Orange Pocket: Root","Hooksoft","Pionesoft","2004-04-28JP","✔","",""
"Ore no Shita de Agake","HuneX","D3 Publisher","2007-06-21JP","✔","",""
"Orega Kantoku Da! Gekitou Pennant Race","Enix","Enix","2000-11-22JP","✔","",""
"Orega Kantoku Da! Volume 2","Enix","Enix","2002-03-07JP","✔","",""
"Oretachi Game Center Zoku: Akumajou Dracula","Hamster Corporation","Hamster Corporation","2006-05-25JP","✔","",""
"Oretachi Game Center Zoku: BurgerTime","Hamster Corporation","Hamster Corporation","2005-10-27JP","✔","",""
"Oretachi Game Center Zoku: Contra","Hamster Corporation","Hamster Corporation","2006-05-25JP","✔","",""
"Oretachi Game Center Zoku: Crazy Climber","Hamster Corporation","Hamster Corporation","2005-07-21JP","✔","",""
"Oretachi Game Center Zoku: Karate Dou","Hamster Corporation","Hamster Corporation","2005-07-21JP","✔","",""
"Oretachi Game Center Zoku: Moon Cresta","Hamster Corporation","Hamster Corporation","2005-07-21JP","✔","",""
"Oretachi Game Center Zoku: Nekketsu Kouka Kunio-Kun","Hamster Corporation","Hamster Corporation","2006-01-26JP","✔","",""
"Oretachi Game Center Zoku: Nekketsu Koukou Dodge Ball Bu","Hamster Corporation","Hamster Corporation","2006-03-23JP","✔","",""
"Oretachi Game Center Zoku: Pooyan","Hamster Corporation","Hamster Corporation","2006-05-25JP","✔","",""
"Oretachi Game Center Zoku: Quarth","Hamster Corporation","Hamster Corporation","2006-01-26JP","✔","",""
"Oretachi Game Center Zoku: Rabio Lepus","Hamster Corporation","Hamster Corporation","2006-03-23JP","✔","",""
"Oretachi Game Center Zoku: Scramble","Hamster Corporation","Hamster Corporation","2005-07-21JP","✔","",""
"Oretachi Game Center Zoku: Sonic Wings","Hamster Corporation","Hamster Corporation","2005-07-21JP","✔","",""
"Oretachi Game Center Zoku: Super Volleyball","Hamster Corporation","Hamster Corporation","2005-10-27JP","✔","",""
"Oretachi Game Center Zoku: Terra Cresta","Hamster Corporation","Hamster Corporation","2005-10-27JP","✔","",""
"Oretachi Game Center Zoku: Thunder Cross","Hamster Corporation","Hamster Corporation","2007-02-08JP","✔","",""
"Oretachi Game Center Zoku: Time Pilot","Hamster Corporation","Hamster Corporation","2005-07-21JP","✔","",""
"Oretachi Game Center Zoku: Trio the Punch","Hamster Corporation","Hamster Corporation","2007-02-08JP","✔","",""
"Oretachi Game Center Zoku: Yie Ar Kung Fu","Hamster Corporation","Hamster Corporation","2005-10-27JP","✔","",""
"Orphen: Scion of Sorcery•Sorcerous Stabber OrphenJP","Shade","Kadokawa GamesJP, ActivisionEU, NA","2000-08-03JP","✔","✔","✔"
"Oshiete! Popotan","Success","Kadokawa Games","2004-03-11JP","✔","",""
"Osouji Sentai Clean Keeper H","Lupinus","Idea Factory","2009-10-01JP","✔","",""
"Othello•SuperLite 2000 Table: OthelloJP","Success","Success","2003-07-31JP","✔","",""
"The Otoko Tachi no Kijū Houza•Simple 2000 Series Vol. 100: The Otoko Tachi no Kijū HouzaJP","Opus","D3 Publisher","2006-06-29JP","✔","",""
"Otome no Jijou","Nine'sFox","Nine'sFox","2006-09-28JP","✔","",""
"Otome wa Boku ni Koishiteru","Alchemist","Alchemist","2005-12-29JP","✔","",""
"Otometeki Koi Kakumei * Love Revo!!","HuneX","Interchannel","2006-01-26JP","✔","",""
"Otona no Gal Jan 2","Jaleco","Jaleco","2005-11-23JP","✔","",""
"Otona no Gal Jan: Kimi ni Hane Man","Pacific Century Cyber Works","Pacific Century Cyber Works","2003-12-18JP","✔","",""
"Otostaz","Sony Computer Entertainment","Sony Computer Entertainment","2002-05-30JP","✔","",""
"Ougon Kishi Garo","Bitstep","Bandai","2006-04-20JP","✔","",""
"Ouka","Pionesoft","Pionesoft","2006-05-25JP","✔","",""
"Ouran Koukou Host-Bu","Design Factory","Idea Factory","2007-04-19JP","✔","",""
"Outlaw Golf","Hypnotix","TDK Mediactive","2003-11-21EU","","✔",""
"Outlaw Golf 2","Hypnotix","Global Star Software","2004-11-25NA","","✔","✔"
"Outlaw Tennis","Hypnotix","Global Star Software","2005-07-26NA","","✔","✔"
"Outlaw Volleyball Remixed","Hypnotix","TDK MediactiveEU, Global Star SoftwareNA","2004-04-08EU","","✔","✔"
"OutRun 2006: Coast 2 Coast","Sumo Digital","Sega","2006-03-31EU","","✔","✔"
"OutRun2 SP Special Tours","Sumo Digital","Sega","2007-02-08JP","✔","",""
"Over the Hedge","Edge of Reality","Activision","2006-05-09NA","","✔","✔"
"Over the Monochrome Rainbow featuring Shogo Hamada","Opera House","Sony Music Entertainment","2003-03-19NA","✔","",""
"P.T.O. IV: Pacific Theater of Operations•Teitoku no Ketsudan IVJP","Koei","Koei","2002-03-28JP","✔","✔","✔"
"Pac-Man Fever","Mass Media Games","Namco","2002-09-02NA","","","✔"
"Pac-Man World 2","Namco","NamcoJP, NA, Sony Computer EntertainmentEU","2002-02-24NA","✔","✔","✔"
"Pac-Man World 3","Blitz Games","Namco","2005-11-15NA","","✔","✔"
"Pac-Man World Rally","Smart Bomb Interactive","Namco Bandai Games","2006-08-22NA","","✔","✔"
"Pachi-Slot Aruze Oukoku 6","Aruze","Aruze","2001-12-13JP","✔","",""
"Pachi-Slot Aruze Oukoku 7","Aruze","Aruze","2002-08-08JP","✔","",""
"Pachi-Slot Club Collection: IM Juggler EX – Juggler Selection","Commseed","Commseed","2007-02-22JP","✔","",""
"Pachi-Slot Club Collection: Pachi-Slot Dayo Koumon Chama","Commseed","Commseed","2005-11-17JP","✔","",""
"Pachi-Slot Higurashi no Naku Koro ni Matsuri","Alchemist","Alchemist","2010-04-22JP","✔","",""
"Pachi-Slot Kanzen Kouryaku: Gigazone","Syscom","Syscom","2002-10-17JP","✔","",""
"Pachi-Slot Kanzen Kouryoku: Onihama Bakusou Gurentai: Gekitou-Hen","Success","Success","2005-06-30JP","✔","",""
"Pachi-Slot Kanzen Kouryoku: Slot Genjin","Success","Success","2006-11-30JP","✔","",""
"Pachi-Slot King! Kagaku Ninja-Tai Gatchaman","Banpresto","Banpresto","2007-02-22JP","✔","",""
"Pachi-Slot Nobunaga no Yabou: Tenka Sousei","Koei","Koei","2006-03-30JP","✔","",""
"Pachi-Slot Toukon Denshou","Success","Success","2004-05-13JP","✔","",""
"Pachi-Slot Winning Post","Koei","Koei","2005-07-28JP","✔","",""
"Pachinko de Yūbou! Fever Dodeka Saurus","ICS","ICS","2002-05-02JP","✔","",""
"Pachinko Kamen Rider: Shocker Zenmetsu Daisakusen","Hack Berry","Hack Berry","2008-02-21JP","✔","",""
"Pachinko Kaou: Misora Hibari","Hack Berry","Hack Berry","2007-03-21JP","✔","",""
"Pachinko Mitokoumon: Pachitte Chonmage Tatsujin 9","Hack Berry","Hack Berry","2005-10-27JP","✔","",""
"PachiPara 12: Ooumi to Natsu no Omoide","Irem","Irem","2005-12-15JP","✔","",""
"PachiPara 13: Super Umi to Pachi-Pro Fūunroku","Irem","Irem","2006-10-26JP","✔","",""
"PachiPara 14: Fū to Kumo to Super Umi in Okinawa","Irem","Irem","2007-07-26JP","✔","",""
"Pachitte Chonmage Tatsujin 10: Pachinko Fuyu no Sonata","Hack Berry","Hack Berry","2007-01-25JP","✔","",""
"Pachitte Chonmage Tatsujin 12: Pachinko Ultraman","Hack Berry","Hack Berry","2007-05-24JP","✔","",""
"Pachitte Chonmage Tatsujin 13: Pachinko Hissatsu Shigotojin III","Hack Berry","Hack Berry","2007-11-22JP","✔","",""
"Pachitte Chonmage Tatsujin 15: Pachinko Fuyu no Sonata 2","Hack Berry","Hack Berry","2008-12-25JP","✔","",""
"Pachitte Chonmage Tatsujin 16: Pachinko Hissatsu Shigotonin III","Hack Berry","Hack Berry","2010-05-27JP","✔","",""
"Pachitte Chonmage Tatsujin 2: CR Jurassic Park","Hack Berry","Hack Berry","2003-02-06JP","✔","",""
"Pachitte Chonmage Tatsujin 3","Hack Berry","Hack Berry","2003-04-17JP","✔","",""
"Pachitte Chonmage Tatsujin 4","Hack Berry","Hack Berry","2003-05-29JP","✔","",""
"Pachitte Chonmage Tatsujin 5: CR Kamen Rider","Hack Berry","Hack Berry","2004-04-15JP","✔","",""
"Pachitte Chonmage Tatsujin 8","Hack Berry","Hack Berry","2005-08-04JP","✔","",""
"Pachitte Chonmage Tatsujin: CR Nettou Power Pro Kun","Hack Berry","Hack Berry","2001-12-20JP","✔","",""
"Pacific Warriors II: Dogfight","InterActive Vision Games","Midas Interactive Entertainment","2004-10-01EU","","✔",""
